Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
ACTA MEDICA LITUANICA,ACTA MED LITUANICA,LITHUANIA,,,,X
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,JAPAN,X,,,
ACTA MEDICA PORTUGUESA,ACTA MEDICA PORT,PORTUGAL,X,,,
ACTA MEDICO-HISTORICA ADRIATICA,ACTA MED-HIST ADRIAT,CROATIA,,,,X
ACTA METALLURGICA SINICA,ACTA METALL SIN,PEOPLES R CHINA,X,,,
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ACTA METALL SIN-ENGL,PEOPLES R CHINA,X,,,
ACTA METALLURGICA SLOVACA,ACTA METALL SLOVACA,SLOVAKIA,,,,X
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,HUNGARY,X,,,
ACTA MONTANISTICA SLOVACA,ACTA MONTAN SLOVACA,SLOVAKIA,X,,,
ACTA NATURAE,ACTA NATURAE,RUSSIA,X,,,
ACTA NEOPHILOLOGICA,ACTA NEOPHILOL,SLOVENIA,,,,X
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,POLAND,X,,,
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,AUSTRIA,X,,,
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,BELGIUM,X,,,
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,DENMARK,X,,,
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,GERMANY,X,,,
ACTA NEUROPATHOLOGICA COMMUNICATIONS,ACTA NEUROPATHOL COM,ENGLAND,X,,,
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,DENMARK,X,,,
ACTA NEUROPSYCHOLOGICA,ACTA NEUROPSYCHOL,POLAND,,,,X
ACTA NUMERICA,ACTA NUMER,UNITED STATES,X,,,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,DENMARK,X,,,
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,PEOPLES R CHINA,X,,,
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,ENGLAND,X,,,
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,NETHERLANDS,X,,,
ACTA OECONOMICA,ACTA OECON,HUNGARY,,X,,
ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,POLAND,X,,,
ACTA ONCOLOGICA,ACTA ONCOL,ENGLAND,X,,,
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,DENMARK,X,,,
ACTA OPTICA SINICA,ACTA OPT SIN,PEOPLES R CHINA,,,,X
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ORIENT ACAD SCI,HUNGARY,,,X,
ACTA ORNITHOLOGICA,ACTA ORNITHOL,POLAND,X,,,
ACTA ORTHOPAEDICA,ACTA ORTHOP,ENGLAND,X,,,
ACTA ORTHOPAEDICA BELGICA,ACTA ORTHOP BELG,BELGIUM,X,,,
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,ACTA ORTHOP TRAUMATO,TURKIYE,X,,,
ACTA ORTOPEDICA BRASILEIRA,ACTA ORTOP BRAS,BRAZIL,X,,,
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,NORWAY,X,,,
ACTA OTO-LARYNGOLOGICA CASE REPORTS,ACTA OTO-LARYNGOL CA,ENGLAND,,,,X
ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,ITALY,X,,,
ACTA OTORRINOLARINGOLOGICA ESPANOLA,ACTA OTORRINOLAR ESP,SPAIN,,,,X
ACTA PAEDIATRICA,ACTA PAEDIATR,DENMARK,X,,,
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,POLAND,X,,,
ACTA PARASITOLOGICA,ACTA PARASITOL,POLAND,X,,,
ACTA PAULISTA DE ENFERMAGEM,ACTA PAUL ENFERM,BRAZIL,X,X,,
ACTA PEDIATRICA DE MEXICO,ACTA PEDIATR MEX,MEXICO,,,,X
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,PEOPLES R CHINA,X,,,
ACTA PHARMACEUTICA,ACTA PHARMACEUT,CROATIA,X,,,
ACTA PHARMACEUTICA SINICA B,ACTA PHARM SIN B,PEOPLES R CHINA,X,,,
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,PEOPLES R CHINA,X,,,
ACTA PHILOSOPHICA,ACTA PHILOS,ITALY,,,X,
ACTA PHLEBOLOGICA,ACTA PHLEBOL,ITALY,,,,X
ACTA PHOTONICA SINICA,ACTA PHOTONICA SINIC,PEOPLES R CHINA,,,,X
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,POLAND,X,,,
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,POLAND,X,,,
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,PEOPLES R CHINA,X,,,
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,PEOPLES R CHINA,X,,,
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,GERMANY,X,,,
ACTA PHYSIOLOGICA,ACTA PHYSIOL,ENGLAND,X,,,
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,ACTA PHYTOTAX GEOBOT,JAPAN,X,,,
ACTA POETICA,ACTA POETICA,MEXICO,,,,X
ACTA POLITICA,ACTA POLIT,NETHERLANDS,,X,,
ACTA POLONIAE HISTORICA,ACTA POL HIST,POLAND,,,X,
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,POLAND,X,,,
ACTA POLYMERICA SINICA,ACTA POLYM SIN,PEOPLES R CHINA,X,,,
ACTA POLYTECHNICA,ACTA POLYTECH,CZECH REPUBLIC,,,,X
ACTA POLYTECHNICA HUNGARICA,ACTA POLYTECH HUNG,HUNGARY,X,,,
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,POLAND,X,,,
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,ACTA PSIQUIAT PSICOL,ARGENTINA,,,,X
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,ENGLAND,X,X,,
ACTA PSYCHOLOGICA,ACTA PSYCHOL,NETHERLANDS,,X,,
ACTA PSYCHOLOGICA SINICA,ACTA PSYCHOL SIN,PEOPLES R CHINA,,,,X
ACTA RADIOLOGICA,ACTA RADIOL,ENGLAND,X,,,
ACTA RADIOLOGICA OPEN,ACTA RADIOL OPEN,NORWAY,,,,X
ACTA SCIENTIAE VETERINARIAE,ACTA SCI VET,BRAZIL,X,,,
ACTA SCIENTIARUM MATHEMATICARUM,ACTA SCI MATH,HUNGARY,,,,X
ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS,ACTA SCI POL-FORM C,POLAND,,,,X
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,ACTA SCI POL-HORTORU,POLAND,X,,,
ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,ACTA SCI POLON-TECHN,POLAND,,,,X
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,BRAZIL,X,,,
ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,BRAZIL,,,,X
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,BRAZIL,X,,,
ACTA SILVAE ET LIGNI,ACTA SILVAE LIGNI,SLOVENIA,,,,X
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,POLAND,X,,,
ACTA SOCIOLOGICA,ACTA SOCIOL,ENGLAND,,X,,
ACTA STOMATOLOGICA CROATICA,ACTA STOMATOL CROAT,CROATIA,,,,X
ACTA STRUCTILIA,ACTA STRUCTILIA,SOUTH AFRICA,,,,X
ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING,ACTA TECH NAPOC SER-,ROMANIA,,,,X
ACTA TECHNOLOGICA AGRICULTURAE,ACTA TECHNOL AGR,SLOVAKIA,,,,X
ACTA THEOLOGICA,ACTA THEOL,SOUTH AFRICA,,,X,
ACTA TROPICA,ACTA TROP,NETHERLANDS,X,,,
ACTA TURISTICA,ACTA TURISTICA,CROATIA,,,,X
ACTA UNIVERSITATIS CAROLINAE THEOLOGICA,ACTA UNIV CAROL THEO,CZECH REPUBLIC,,,,X
ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA POLONICA,ACTA UL FOL LITT POL,POLAND,,,,X
ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA ROMANICA,ACTA UL FOL LITT ROM,POLAND,,,,X
ACTA UNIVERSITATIS LODZIENSIS-FOLIA ARCHAEOLOGICA,ACTA U LODZ FOLIA AR,POLAND,,,,X
ACTA UNIVERSITATIS LODZIENSIS-FOLIA IURIDICA,ACTA U LODZ FOLIA LU,POLAND,,,,X
ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,ACTA U SAPIEN INFORM,ROMANIA,,,,X
ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,ACTA U SAPIENTIAE-FI,ROMANIA,,,,X
ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA,ACTA U SAPIENTIAE-MA,ROMANIA,,,,X
ACTA VETERINARIA BRNO,ACTA VET BRNO,CZECH REPUBLIC,X,,,
ACTA VETERINARIA EURASIA,ACTA VET EURASIA,TURKIYE,,,,X
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,HUNGARY,X,,,
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,DENMARK,X,,,
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,POLAND,X,,,
ACTA VIROLOGICA,ACTA VIROL,SLOVAKIA,X,,,
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,ENGLAND,X,,,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,HUNGARY,X,,,
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,BULGARIA,X,,,
ACTAS DERMO-SIFILIOGRAFICAS,ACTAS DERMO-SIFILOGR,SPAIN,,,,X
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,SPAIN,X,,,
ACTAS UROLOGICAS ESPANOLAS,ACTAS UROL ESP,SPAIN,X,,,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,FRANCE,,X,,
ACTION LEARNING,ACTION LEARN,ENGLAND,,,,X
ACTION RESEARCH,ACTION RES-LONDON,ENGLAND,,X,,
ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,ACT PASSIV ELECTRON,UNITED STATES,,,,X
ACTIVE LEARNING IN HIGHER EDUCATION,ACT LEARN HIGH EDUC,UNITED STATES,,X,,
ACTIVITAS NERVOSA SUPERIOR REDIVIVA,ACT NERV SUPER REDIV,SLOVAKIA,,,,X
ACTIVITES-REVUE ELECTRONIQUE,ACTIVITIES,FRANCE,,,,X
ACTIVITIES ADAPTATION & AGING,ACT ADAPT AGING,UNITED STATES,,,,X
ACTUALIDAD CONTABLE FACES,ACTUAL CONTAB FACES,VENEZUELA,,,,X
ACTUALIDAD JURIDICA AMBIENTAL,ACTUAL JURID AMBIENT,SPAIN,,,,X
ACTUALIDADES EN PSICOLOGIA,ACTUAL PSICOL,COSTA RICA,,,,X
ACTUALIDADES PEDAGOGICAS,ACTUAL PEDAGOG,COLOMBIA,,,,X
ACTUALITES PHARMACEUTIQUES,ACTUAL PHARMACEUT,FRANCE,,,,X
ACTUALIZACIONES EN OSTEOLOGIA,ACTUAL OSTEOL,ARGENTINA,,,,X
ACTUATORS,ACTUATORS,SWITZERLAND,X,,,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,UNITED STATES,X,,,
ACUPUNCTURE AND HERBAL MEDICINE,ACUPUNCT HERB MED,PEOPLES R CHINA,,,,X
ACUPUNCTURE IN MEDICINE,ACUPUNCT MED,ENGLAND,X,,,
ACUTE AND CRITICAL CARE,ACUTE CRIT CARE,SOUTH KOREA,,,,X
ACUTE MEDICINE & SURGERY,ACUTE MED SURG,UNITED STATES,,,,X
AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,UNITED STATES,X,,,
AD HOC NETWORKS,AD HOC NETW,NETHERLANDS,X,,,
ADALYA,ADALYA,TURKIYE,,,X,
ADANSONIA,ADANSONIA,FRANCE,X,,,
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,ADAPTATION-UK,ENGLAND,,,X,
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,UNITED STATES,X,,,
ADAPTIVE BEHAVIOR,ADAPT BEHAV,ENGLAND,X,X,,
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,ADAPT HUM BEHAV PHYS,GERMANY,,,,X
ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,ADCAIJ-ADV DISTRIB C,SPAIN,,,,X
ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,ADCOMUNICA,SPAIN,,,,X
ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS,ADDICTA,TURKIYE,,,,X
ADDICTION,ADDICTION,ENGLAND,X,X,,
ADDICTION BIOLOGY,ADDICT BIOL,ENGLAND,X,,,
ADDICTION NEUROSCIENCE,ADDICT NEUROSCI,NETHERLANDS,,,,X
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,ENGLAND,,X,,
ADDICTION SCIENCE & CLINICAL PRACTICE,ADDICT SCI CLIN PRAC,ENGLAND,X,X,,
ADDICTIVE BEHAVIORS,ADDICT BEHAV,ENGLAND,X,X,,
ADDICTIVE BEHAVIORS REPORTS,ADDICT BEHAV REP,ENGLAND,,,,X
ADDITIVE MANUFACTURING,ADDIT MANUF,NETHERLANDS,X,,,
ADDITIVE MANUFACTURING LETTERS,ADDIT MANUF LETT,NETHERLANDS,,,,X
ADELAIDE LAW REVIEW,ADEL LAW REV,AUSTRALIA,,,,X
ADICCIONES,ADICCIONES,SPAIN,X,X,,
ADIPOCYTE,ADIPOCYTE,UNITED STATES,X,,,
ADMET AND DMPK,ADMET DMPK,CROATIA,,,,X
AD-MINISTER,AD-MINIST,COLOMBIA,,,,X
ADMINISTRACAO PUBLICA E GESTAO SOCIAL,ADM PUBLICA GEST SOC,BRAZIL,,,,X
ADMINISTRACAO-ENSINO E PESQUISA,ADMINISTRACAO,BRAZIL,,,,X
ADMINISTRATION,ADMINSTRATION,POLAND,,,,X
ADMINISTRATION & SOCIETY,ADMIN SOC,UNITED STATES,,X,,
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,UNITED STATES,,X,,
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,UNITED STATES,,X,,
ADMINISTRATIVE SCIENCES,ADM SCI,SWITZERLAND,,,,X
ADOLESCENT PSYCHIATRY,ADOLES PSYCHIAT-NETH,NETHERLANDS,,,,X
ADOLESCENT RESEARCH REVIEW,ADOLESC RES REV,SWITZERLAND,,X,,
ADOLESCENTS,ADOLESCENTS-BASEL,SWITZERLAND,,,,X
ADOPTION AND FOSTERING,ADOPT FOSTER,ENGLAND,,,,X
ADOPTION QUARTERLY,ADOPT Q,UNITED STATES,,,,X
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,UNITED STATES,X,,,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,NETHERLANDS,X,,,
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,UNITED STATES,,X,,
ADULT LEARNING,ADULT LEARN,UNITED STATES,,,,X
ADULTSPAN JOURNAL,ADULTSPAN J,UNITED STATES,,,,X
ADVANCED AGROCHEM,ADV AGROCHEM,PEOPLES R CHINA,,,,X
ADVANCED BIOLOGY,ADV BIOL-GER,GERMANY,X,,,
ADVANCED BIOMEDICAL ENGINEERING,ADV BIOMED ENG,JAPAN,,,,X
ADVANCED BIOMEDICAL RESEARCH,ADV BIOMED RES-INDIA,IRAN,,,,X
ADVANCED BIOTECHNOLOGY,ADV BIOTECHNOL-SING,SINGAPORE,,,,X
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,ENGLAND,X,,,
ADVANCED COMPOSITES AND HYBRID MATERIALS,ADV COMPOS HYBRID MA,SWITZERLAND,X,,,
ADVANCED DEVICES & INSTRUMENTATION,ADV DEVICE INSTRUM,PEOPLES R CHINA,,,,X
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,NETHERLANDS,X,,,
ADVANCED EDUCATION,ADV EDUC,UKRAINE,,,,X
ADVANCED ELECTROMAGNETICS,ADV ELECTROMAGN,FRANCE,,,,X
ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,GERMANY,X,,,
ADVANCED EMERGENCY NURSING JOURNAL,ADV EMERG NURS J,UNITED STATES,,,,X
ADVANCED ENERGY AND SUSTAINABILITY RESEARCH,ADV ENERG SUST RES,GERMANY,,,,X
ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,GERMANY,X,,,
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ENGLAND,X,,,
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,GERMANY,X,,,
ADVANCED FIBER MATERIALS,ADV FIBER MATER,PEOPLES R CHINA,X,,,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,GERMANY,X,,,
ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,ENGLAND,X,,,
ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH,ADV IND ENG POLY RES,PEOPLES R CHINA,,,,X
ADVANCED INTELLIGENT SYSTEMS,ADV INTELL SYST-GER,GERMANY,X,,,
ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE,ADV MANUF-POLYM COMP,ENGLAND,,,,X
ADVANCED MATERIALS,ADV MATER,GERMANY,X,,,
ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,GERMANY,X,,,
ADVANCED MATERIALS TECHNOLOGIES,ADV MATER TECHNOL-US,UNITED STATES,X,,,
ADVANCED MEMBRANES,ADV MEMBR,PEOPLES R CHINA,,,,X
ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES,ADV MODEL SIMUL ENG,FRANCE,,,,X
ADVANCED NANOBIOMED RESEARCH,ADV NANOBIOMED RES,GERMANY,,,,X
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,UNITED STATES,X,,,
ADVANCED OPTICAL MATERIALS,ADV OPT MATER,GERMANY,X,,,
ADVANCED OPTICAL TECHNOLOGIES,ADV OPT TECHNOL,GERMANY,,,,X
ADVANCED PHARMACEUTICAL BULLETIN,ADV PHARM BULL,IRAN,,,,X
ADVANCED PHOTONICS,ADV PHOTONICS,PEOPLES R CHINA,X,,,
ADVANCED PHOTONICS NEXUS,ADV PHOTON NEXUS,UNITED STATES,,,,X
ADVANCED PHOTONICS RESEARCH,ADV PHOTON RES,GERMANY,,,,X
ADVANCED PHYSICS RESEARCH,ADV PHYS RES-US,GERMANY,,,,X
ADVANCED POWDER MATERIALS,ADV POWDER MATER,PEOPLES R CHINA,,,,X
ADVANCED POWDER TECHNOLOGY,ADV POWDER TECHNOL,JAPAN,X,,,
ADVANCED QUANTUM TECHNOLOGIES,ADV QUANTUM TECHNOL,GERMANY,X,,,
ADVANCED ROBOTICS,ADV ROBOTICS,ENGLAND,X,,,
ADVANCED SCIENCE,ADV SCI,UNITED STATES,X,,,
ADVANCED SENSOR AND ENERGY MATERIALS,ADV SENS ENERGY MAT,PEOPLES R CHINA,,,,X
ADVANCED SENSOR RESEARCH,ADV SENSOR RES,GERMANY,,,,X
ADVANCED STEEL CONSTRUCTION,ADV STEEL CONSTR,PEOPLES R CHINA,X,,,
ADVANCED STUDIES-EURO-TBILISI MATHEMATICAL JOURNAL,ADV STUD EURO TBILIS,REP OF GEORGIA,,,,X
ADVANCED SUSTAINABLE SYSTEMS,ADV SUSTAIN SYST,GERMANY,X,,,
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,GERMANY,X,,,
ADVANCED THEORY AND SIMULATIONS,ADV THEOR SIMUL,GERMANY,X,,,
ADVANCED THERAPEUTICS,ADV THER-GERMANY,GERMANY,X,,,
ADVANCEMENTS OF MICROBIOLOGY,ADV MICROBIOL-NY,POLAND,X,,,
ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS,ADV APPL DISCRET MAT,INDIA,,,,X
ADVANCES AND APPLICATIONS IN STATISTICS,ADV APPL STAT,INDIA,,,,X
ADVANCES IN ACCOUNTING,ADV ACCOUNT,NETHERLANDS,,,,X
ADVANCES IN AERODYNAMICS,ADV AERODYNAM,PEOPLES R CHINA,,,,X
ADVANCES IN AGRICULTURE,ADV AGR,ENGLAND,,,,X
ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE,ADV AIRCR SPACECR SC,SOUTH KOREA,,,,X
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,UNITED STATES,X,,,
ADVANCES IN APPLIED CERAMICS,ADV APPL CERAM,ENGLAND,X,,,
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,SWITZERLAND,X,,,
ADVANCES IN APPLIED ENERGY,ADV APPL ENERGY,ENGLAND,,,,X
ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,UNITED STATES,X,,,
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,ADV APPL MATH MECH,HONG KONG,X,,,
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,ENGLAND,X,,,
ADVANCES IN ARCHAEOLOGICAL PRACTICE,ADV ARCHAEOL PRACT,UNITED STATES,,,X,
ADVANCES IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,ADV ARTIF INTELL MAC,INDIA,,,,X
ADVANCES IN ASTRONOMY,ADV ASTRON,UNITED STATES,X,,,
ADVANCES IN ATMOSPHERIC SCIENCES,ADV ATMOS SCI,PEOPLES R CHINA,X,,,
ADVANCES IN AUTISM,ADV AUTISM,ENGLAND,,,,X
ADVANCES IN BAMBOO SCIENCE,ADV BAMBOO SCI,NETHERLANDS,,,,X
ADVANCES IN BIOLOGICAL REGULATION,ADV BIOL REGUL,ENGLAND,,,,X
ADVANCES IN BRIDGE ENGINEERING,ADV BRIDGE ENG,PEOPLES R CHINA,,,,X
ADVANCES IN BUILDING ENERGY RESEARCH,ADV BUILD ENERGY RES,ENGLAND,,,,X
ADVANCES IN CALCULUS OF VARIATIONS,ADV CALC VAR,GERMANY,X,,,
ADVANCES IN CANCER BIOLOGY-METASTASIS,ADV CANCER BIOL-MET,NETHERLANDS,,,,X
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,ENGLAND,X,,,
ADVANCES IN CIVIL AND ARCHITECTURAL ENGINEERING,ADV CIV ARCHIT ENG,CROATIA,,,,X
ADVANCES IN CIVIL ENGINEERING,ADV CIV ENG,UNITED STATES,X,,,
ADVANCES IN CIVIL ENGINEERING MATERIALS,ADV CIV ENG MATER,UNITED STATES,,,,X
ADVANCES IN CLIMATE CHANGE RESEARCH,ADV CLIM CHANG RES,PEOPLES R CHINA,X,,,
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,ADV CLIN EXP MED,POLAND,X,,,
ADVANCES IN COGNITIVE PSYCHOLOGY,ADV COGN PSYCHOL,POLAND,,X,,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,NETHERLANDS,X,,,
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,SINGAPORE,X,,,
"ADVANCES IN COMPUTATIONAL DESIGN, AN INTERNATIONAL JOURNAL",ADV COMPUT DES,SOUTH KOREA,,,,X
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,NETHERLANDS,X,,,
ADVANCES IN CONCRETE CONSTRUCTION,ADV CONCR CONSTR,SOUTH KOREA,X,,,
ADVANCES IN CONDENSED MATTER PHYSICS,ADV COND MATTER PHYS,UNITED STATES,X,,,
ADVANCES IN CONTINUOUS AND DISCRETE MODELS,ADV CONTIN DISCRET M,UNITED STATES,X,,,
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,ADV DATA ANAL CLASSI,GERMANY,X,,,
ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS,ADV DATA SCI ADAPT,SINGAPORE,,,,X
ADVANCES IN DEVELOPING HUMAN RESOURCES,ADV DEV HUM RESOUR,UNITED STATES,,,,X
ADVANCES IN DIFFERENTIAL EQUATIONS,ADV DIFFERENTIAL EQU,UNITED STATES,X,,,
ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES,ADV DIFFER EQU CONTR,SINGAPORE,,,,X
ADVANCES IN DIGESTIVE MEDICINE,ADV DIG MED,TAIWAN,,,,X
ADVANCES IN DUAL DIAGNOSIS,ADV DUAL DIAGN,ENGLAND,,,,X
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ADV ELECTR COMPUT EN,ROMANIA,X,,,
ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,ADV ELECTR ELECTRON,CZECH REPUBLIC,,,,X
ADVANCES IN ENERGY RESEARCH,ADV ENERGY RES,SOUTH KOREA,,,,X
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,ENGLAND,X,,,
ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL,AD ENVIRON RES,SOUTH KOREA,,,,X
ADVANCES IN FUZZY SYSTEMS,ADV FUZZY SYST,UNITED STATES,,,,X
ADVANCES IN GEODESY AND GEOINFORMATION,ADV GEODES GEOINFORM,POLAND,,,,X
ADVANCES IN GEO-ENERGY RESEARCH,ADV GEO-ENERGY RES,PEOPLES R CHINA,,,,X
ADVANCES IN GEOMETRY,ADV GEOM,GERMANY,X,,,
ADVANCES IN GERONTOLOGY,ADV GERONTOL,RUSSIA,,,,X
ADVANCES IN GROUP THEORY AND APPLICATIONS,ADV GROUP THEOR APPL,ITALY,,,,X
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,UNITED STATES,X,X,,
ADVANCES IN HIGH ENERGY PHYSICS,ADV HIGH ENERGY PHYS,UNITED STATES,X,,,
ADVANCES IN HOSPITALITY AND TOURISM RESEARCH-AHTR,ADV HOSP TOUR RES-AH,TURKIYE,,,,X
ADVANCES IN HUMAN BIOLOGY,ADV HUM BIOL,INDIA,,,,X
ADVANCES IN HUMAN-COMPUTER INTERACTION,ADV HUM-COMPUT INTER,UNITED STATES,,,,X
ADVANCES IN INDUSTRIAL AND MANUFACTURING ENGINEERING,ADV IND MANUF ENG,NETHERLANDS,,,,X
ADVANCES IN INTEGRATIVE MEDICINE,ADV INTEGR MED,NETHERLANDS,,,,X
ADVANCES IN KIDNEY DISEASE AND HEALTH,ADV KIDNEY DIS HEAL,UNITED STATES,X,,,
ADVANCES IN LABORATORY MEDICINE-AVANCES EN MEDICINA DE LABORATORIO,ADV LAB MED,SPAIN,,,,X
