JournalFullName,ISSN,2022IF,2022AI,
ACTA ZOOLOGICA BULGARICA,0324-0770,0.5,0.096,
ACTAS DERMO-SIFILIOGRAFICAS,0001-7310,3.2,0.581,
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1.5,0.383,
ACTAS UROLOGICAS ESPANOLAS,0210-4806,1.1,0.197,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,0.3,0.302,
ACTION LEARNING,1476-7333,1,0.149,
ACTION RESEARCH,1476-7503,1.9,0.634,
ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,0882-7516,0.4,0.122,
ACTIVE LEARNING IN HIGHER EDUCATION,1469-7874,5,1.226,
ACTIVITAS NERVOSA SUPERIOR REDIVIVA,1337-933X,0.4,0.034,
ACTIVITES-REVUE ELECTRONIQUE,1765-2723,0.4,0.069,
ACTIVITIES ADAPTATION & AGING,0192-4788,2.8,0.288,
ACTUALIDAD CONTABLE FACES,1316-8533,0,0.009,
ACTUALIDAD JURIDICA AMBIENTAL,1989-5666,0.1,0.091,
ACTUALIDADES EN PSICOLOGIA,0258-6444,0.9,0.094,
ACTUALIDADES PEDAGOGICAS,0120-1700,0,0.009,
ACTUALITES PHARMACEUTIQUES,0515-3700,0.1,0.011,
ACTUALIZACIONES EN OSTEOLOGIA,1669-8975,0,0.015,
ACTUATORS,2076-0825,2.6,0.426,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,0.3,0.041,
ACUPUNCTURE IN MEDICINE,0964-5284,2.5,0.523,
ACUTE AND CRITICAL CARE,2586-6052,1.8,0.524,
ACUTE MEDICINE & SURGERY,2052-8817,1.6,0.46,
AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH,1804-7890,0.7,0.028,
AD HOC & SENSOR WIRELESS NETWORKS,1551-9899,0.9,0.071,
AD HOC NETWORKS,1570-8705,4.8,0.72,
AD-MINISTER,1692-0279,0.9,0.122,
ADALYA,1301-2746,0.2,0.311,
ADANSONIA,1280-8571,0.8,0.167,
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,1755-0637,0.3,0.167,
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1.9,0.488,
ADAPTIVE BEHAVIOR,1059-7123,1.6,0.372,
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2198-7335,1.6,0.679,
ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,2255-2863,1.4,0.129,
ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,2174-0992,0.8,0.249,
ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS,2148-7286,0.9,0.203,
ADDICTION,0965-2140,6,2.428,
ADDICTION BIOLOGY,1355-6215,3.4,0.926,
ADDICTION RESEARCH & THEORY,1606-6359,2.9,0.869,
ADDICTION SCIENCE & CLINICAL PRACTICE,1940-0640,3.7,1.66,
ADDICTIVE BEHAVIORS,0306-4603,4.4,1.245,
ADDICTIVE DISORDERS & THEIR TREATMENT,1531-5754,1.1,0.188,
ADDITIVE MANUFACTURING,2214-8604,11,2.112,
ADELAIDE LAW REVIEW,0065-1915,0.4,0.121,
ADEPTUS,2300-0783,0.1,0.127,
ADICCIONES,0214-4840,3,0.507,
ADIPOCYTE,2162-3945,3.3,0.916,
ADMET AND DMPK,1848-7718,2.5,0.286,
ADMINISTRACAO PUBLICA E GESTAO SOCIAL,2175-5787,0.1,0.042,
ADMINISTRACAO-ENSINO E PESQUISA,2177-6083,0.1,0.141,
ADMINISTRATION,0001-8325,0.5,0.102,
ADMINISTRATION & SOCIETY,0095-3997,2.3,0.907,
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,0894-587X,2.6,1.023,
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,10.4,9.289,
ADMINISTRATIVE SCIENCES,2076-3387,3,0.491,
ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS,1179-318X,1.8,0.951,
ADOLESCENT PSYCHIATRY,2210-6766,0.4,0.191,
ADOLESCENT RESEARCH REVIEW,2363-8346,4.7,1.578,
ADOPTION AND FOSTERING,0308-5759,0.6,0.453,
ADOPTION QUARTERLY,1092-6755,0.8,0.323,
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2.9,0.406,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,3.3,0.452,
ADULT EDUCATION QUARTERLY,0741-7136,1.3,0.721,
ADULT LEARNING,1045-1595,1.3,0.37,
ADULTSPAN JOURNAL,1524-6817,0.7,0.188,
ADVANCED BIOLOGY,2701-0198,3.7,0.875,
ADVANCED BIOMEDICAL ENGINEERING,2187-5219,1,0.13,
ADVANCED BIOMEDICAL RESEARCH,2277-9175,1,0,
ADVANCED BIOSYSTEMS,2366-7478,4.1,0.869,
ADVANCED COMPOSITE MATERIALS,0924-3046,2.9,0.344,
ADVANCED COMPOSITES AND HYBRID MATERIALS,2522-0128,20.1,1.861,
ADVANCED COMPOSITES LETTERS,0963-6935,2.4,0.223,
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,16.1,3.064,
ADVANCED EDUCATION,2409-3351,1.1,0.115,
ADVANCED ELECTROMAGNETICS,2119-0275,0.8,0.1,
ADVANCED ELECTRONIC MATERIALS,2199-160X,6.2,1.509,
ADVANCED EMERGENCY NURSING JOURNAL,1931-4485,0.5,0.142,
ADVANCED ENERGY AND SUSTAINABILITY RESEARCH,2699-9412,5.8,1.213,
ADVANCED ENERGY MATERIALS,1614-6832,27.8,6.094,
ADVANCED ENGINEERING INFORMATICS,1474-0346,8.8,1.197,
ADVANCED ENGINEERING MATERIALS,1438-1656,3.6,0.723,
ADVANCED FIBER MATERIALS,2524-7921,16.1,2.154,
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19,3.977,
ADVANCED HEALTHCARE MATERIALS,2192-2640,10,1.784,
ADVANCED INTELLIGENT SYSTEMS,2640-4567,7.4,1.671,
ADVANCED JOURNAL OF EMERGENCY MEDICINE,2588-400X,1.4,0.272,
ADVANCED MATERIALS,0935-9648,29.4,6.765,
ADVANCED MATERIALS & PROCESSES,0882-7958,0.5,0.087,
ADVANCED MATERIALS INTERFACES,2196-7350,5.4,1.055,
ADVANCED MATERIALS TECHNOLOGIES,2365-709X,6.8,1.553,
ADVANCED NANOBIOMED RESEARCH,2699-9307,3.4,0.572,
ADVANCED NONLINEAR STUDIES,1536-1365,1.8,1.131,
ADVANCED OPTICAL MATERIALS,2195-1071,9,2.039,
ADVANCED OPTICAL TECHNOLOGIES,2192-8576,1.8,0.381,
ADVANCED PHARMACEUTICAL BULLETIN,2228-5881,3.6,0.68,
ADVANCED PHOTONICS,2577-5421,17.3,4.075,
ADVANCED PHOTONICS RESEARCH,2699-9293,3.7,0.849,
ADVANCED POWDER TECHNOLOGY,0921-8831,5.2,0.686,
ADVANCED QUANTUM TECHNOLOGIES,2511-9044,4.4,1.688,
ADVANCED ROBOTICS,0169-1864,2,0.472,
ADVANCED SCIENCE,2198-3844,15.1,3.539,
ADVANCED STEEL CONSTRUCTION,1816-112X,1.7,0.201,
ADVANCED STUDIES-EURO-TBILISI MATHEMATICAL JOURNAL,2667-9930,0.5,0.214,
ADVANCED SUSTAINABLE SYSTEMS,2366-7486,7.1,0,
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,5.4,0.94,
ADVANCED THEORY AND SIMULATIONS,2513-0390,3.3,0.811,
ADVANCED THERAPEUTICS,2366-3987,4.6,0.935,
ADVANCEMENTS IN LIFE SCIENCES,2310-5380,1.6,0.162,
ADVANCEMENTS OF MICROBIOLOGY,0079-4252,0.8,0.128,
ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS,0974-1658,0.1,0.025,
ADVANCES AND APPLICATIONS IN STATISTICS,0972-3617,0.2,0.033,
ADVANCES IN ACCOUNTING,0882-6110,1.6,0.315,
ADVANCES IN AERODYNAMICS,2524-6992,2.3,0.652,
ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE,2287-528X,1,0.146,
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,6.7,1.502,
ADVANCES IN APPLIED CERAMICS,1743-6753,2.2,0.41,
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,0188-7009,1.5,0.331,
ADVANCES IN APPLIED MATHEMATICS,0196-8858,1.1,0.729,
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,2070-0733,1.4,0.295,
ADVANCES IN APPLIED PROBABILITY,0001-8678,1.2,0.792,
ADVANCES IN ARCHAEOLOGICAL PRACTICE,2326-3768,1.4,0.399,
ADVANCES IN ASTRONOMY,1687-7969,1.4,0.415,
ADVANCES IN ASTRONOMY AND SPACE PHYSICS,2227-1481,0,0,
ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,5.8,1.275,
ADVANCES IN AUTISM,2056-3868,1.2,0.399,
ADVANCES IN BUILDING ENERGY RESEARCH,1751-2549,2,0.295,
ADVANCES IN CALCULUS OF VARIATIONS,1864-8258,1.7,1.344,
ADVANCES IN CEMENT RESEARCH,0951-7197,2,0.364,
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,2.9,1.362,
ADVANCES IN CIVIL AND ARCHITECTURAL ENGINEERING,2975-3848,0,0,
ADVANCES IN CIVIL ENGINEERING,1687-8086,1.8,0.302,
ADVANCES IN CIVIL ENGINEERING MATERIALS,2379-1357,1.4,0.248,
ADVANCES IN CLIMATE CHANGE RESEARCH,1674-9278,7.4,1.431,
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,1899-5276,2.1,0.383,
ADVANCES IN COGNITIVE PSYCHOLOGY,1895-1171,1.2,0.403,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,15.6,2.209,
ADVANCES IN COMPLEX SYSTEMS,0219-5259,0.4,0.37,
"ADVANCES IN COMPUTATIONAL DESIGN, AN INTERNATIONAL JOURNAL",2383-8477,1.8,0.19,
ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,1.7,0.869,
ADVANCES IN CONCRETE CONSTRUCTION,2287-5301,2.6,0.345,
ADVANCES IN CONDENSED MATTER PHYSICS,1687-8108,1.5,0.191,
ADVANCES IN CONTINUOUS AND DISCRETE MODELS,2731-4235,0,0,
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,1862-5347,1.6,0.945,
ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS,2424-922X,0.6,0.047,
ADVANCES IN DEVELOPING HUMAN RESOURCES,1523-4223,3.1,0.697,
ADVANCES IN DIFFERENCE EQUATIONS,1687-1847,4.1,0.486,
ADVANCES IN DIFFERENTIAL EQUATIONS,1079-9389,1.4,0.834,
ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES,0974-3243,0.1,0.055,
ADVANCES IN DIGESTIVE MEDICINE,2351-9797,0.3,0.051,
ADVANCES IN DUAL DIAGNOSIS,1757-0972,0.9,0.199,
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,1582-7445,0.8,0.129,
ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,1336-1376,0.6,0.089,
ADVANCES IN ENERGY RESEARCH,2287-6316,3.2,0.225,
ADVANCES IN ENGINEERING SOFTWARE,0965-9978,4.8,1.285,
ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL,2234-1722,1.2,0.164,
ADVANCES IN FUZZY SYSTEMS,1687-7101,1.3,0.246,
ADVANCES IN GEO-ENERGY RESEARCH,2207-9963,8.2,0,
ADVANCES IN GEODESY AND GEOINFORMATION,2720-7242,0,0,
ADVANCES IN GEOMETRY,1615-715X,0.5,0.58,
ADVANCES IN GERONTOLOGY,2079-0570,0.6,0.092,
ADVANCES IN GROUP THEORY AND APPLICATIONS,2499-1287,0.6,0.657,
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,4,1.246,
ADVANCES IN HIGH ENERGY PHYSICS,1687-7357,1.7,0.329,
ADVANCES IN HOSPITALITY AND TOURISM RESEARCH-AHTR,2147-9100,1.7,0.2,
ADVANCES IN HUMAN BIOLOGY,2321-8568,0.4,0.108,
ADVANCES IN HUMAN-COMPUTER INTERACTION,1687-5893,2.9,0.586,
ADVANCES IN INTEGRATIVE MEDICINE,2212-9588,1.7,0.239,
ADVANCES IN LABORATORY MEDICINE-AVANCES EN MEDICINA DE LABORATORIO,2628-491X,1,0.211,
ADVANCES IN LIFE COURSE RESEARCH,1040-2608,3.4,1.332,
ADVANCES IN MANUFACTURING,2095-3127,5.2,0.729,
ADVANCES IN MATERIALS AND PROCESSING TECHNOLOGIES,2374-068X,2.2,0,
ADVANCES IN MATERIALS RESEARCH-AN INTERNATIONAL JOURNAL,2234-0912,2.2,0.253,
ADVANCES IN MATERIALS SCIENCE,2083-4799,1.3,0.231,
ADVANCES IN MATHEMATICAL PHYSICS,1687-9120,1.2,0.229,
ADVANCES IN MATHEMATICS,0001-8708,1.7,1.965,
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,1930-5346,0.9,0.407,
ADVANCES IN MECHANICAL ENGINEERING,1687-8132,2.1,0.283,
ADVANCES IN MEDICAL EDUCATION AND PRACTICE,1179-7258,2,0.576,
ADVANCES IN MEDICAL SCIENCES,1896-1126,2.7,0.527,
ADVANCES IN MENTAL HEALTH,1838-7357,1.4,0.503,
ADVANCES IN MENTAL HEALTH AND INTELLECTUAL DISABILITIES,2044-1282,1.1,0.263,
ADVANCES IN METEOROLOGY,1687-9309,2.9,0.501,
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,2515-2459,13.6,9.775,
ADVANCES IN MULTIMEDIA,1687-5680,1.4,0.199,
ADVANCES IN NANO RESEARCH,2287-237X,5.7,0.518,
ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,2043-6254,2.1,0,
ADVANCES IN NEONATAL CARE,1536-0903,1.7,0.556,
ADVANCES IN NONLINEAR ANALYSIS,2191-9496,4.2,1.588,
ADVANCES IN NURSING SCIENCE,0161-9268,1.6,0.612,
ADVANCES IN NUTRITION,2161-8313,9.3,2.569,
ADVANCES IN OPERATIONS RESEARCH,1687-9147,1.2,0.411,
ADVANCES IN OPERATOR THEORY,2662-2009,0.8,0.34,
ADVANCES IN OPTICS AND PHOTONICS,1943-8206,27.1,7.277,
ADVANCES IN ORTHOPEDICS,2090-3464,1.3,0.463,
ADVANCES IN PHARMACOLOGICAL AND PHARMACEUTICAL SCIENCES,2633-4682,2.8,0.349,
ADVANCES IN PHARMACOLOGY AND PHARMACY,2332-0036,0.1,0.029,
ADVANCES IN PHYSICS-X,2374-6149,6,2.361,
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,2.1,0.481,
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,3.1,0.333,
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,1854-6250,3.6,0.341,
ADVANCES IN PUBLIC HEALTH,2356-6868,4.1,0,
ADVANCES IN PURE AND APPLIED MATHEMATICS,1867-1152,0.4,0.257,
ADVANCES IN RADIATION ONCOLOGY,2452-1094,2.3,0.731,
ADVANCES IN RADIO SCIENCE,1684-9965,0.4,0.275,
ADVANCES IN RESPIRATORY MEDICINE,2451-4934,1.8,0.394,
ADVANCES IN RHEUMATOLOGY,2523-3106,2.3,0.675,
ADVANCES IN SCIENCE AND TECHNOLOGY-RESEARCH JOURNAL,2080-4075,1.1,0.099,
ADVANCES IN SKIN & WOUND CARE,1527-7941,2.4,0.501,
ADVANCES IN SPACE RESEARCH,0273-1177,2.6,0.596,
ADVANCES IN STRUCTURAL ENGINEERING,1369-4332,2.6,0.451,
ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS,1095-0761,1.5,1.382,
ADVANCES IN THERAPY,0741-238X,3.8,1.117,
ADVANCES IN TRADITIONAL MEDICINE,2662-4052,2,0.247,
ADVANCES IN TRIBOLOGY,1687-5915,2.6,0.217,
ADVANCES IN UROLOGY,1687-6369,1.4,0.83,
ADVANCES IN VIROLOGY,1687-8639,2.2,0.395,
ADVANCES IN WATER RESOURCES,0309-1708,4.7,1.099,
ADVANCES IN WEED SCIENCE,2675-9462,2.1,0.179,
ADVANCES IN WOUND CARE,2162-1918,4.9,1.148,
AEDOS-REVISTA DO CORPO DISCENTE DO PROGRAMA DE POS-GRADUACAO EM HISTORIA DA UFRGS,1984-5634,0,0.016,
AEM EDUCATION AND TRAINING,2472-5390,1.8,0.691,
AEOLIAN RESEARCH,1875-9637,3.3,0.817,
AEQUATIONES MATHEMATICAE,0001-9054,0.8,0.399,
AERA OPEN,2332-8584,2.8,1.363,
AEROBIOLOGIA,0393-5965,2,0.401,
AERONAUTICAL JOURNAL,0001-9240,1.4,0.293,
AEROSOL AND AIR QUALITY RESEARCH,1680-8584,4,0.548,
AEROSOL SCIENCE AND ENGINEERING,2510-375X,1.4,0.221,
AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,5.2,0.968,
AEROSPACE,2226-4310,2.6,0.448,
AEROSPACE AMERICA,0740-722X,0.1,0.028,
AEROSPACE MEDICINE AND HUMAN PERFORMANCE,2375-6314,0.9,0.24,
AEROSPACE RESEARCH IN BULGARIA,1313-0927,0.3,0.046,
AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638,5.6,0.897,
AESTHETIC PLASTIC SURGERY,0364-216X,2.4,0.523,
AESTHETIC SURGERY JOURNAL,1090-820X,2.9,0.794,
AESTIMUM,1592-6117,0.8,0.13,
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,3.2,0.43,
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,0001-9593,0.1,0.382,
AFFILIA-FEMINIST INQUIRY IN SOCIAL WORK,0886-1099,2.2,0.599,
AFGHANISTAN,2399-357X,0.7,0.466,
AFINIDAD,0001-9704,0.3,0.049,
AFKAR-JURNAL AKIDAH & PEMIKIRAN ISLAM-JOURNAL OF AQIDAH & ISLAMIC THOUGHT,1511-8819,0.5,0.054,
AFRICA,0001-9720,1.2,0.64,
AFRICA EDUCATION REVIEW,1814-6627,0.4,0.141,
AFRICA JOURNAL OF MANAGEMENT,2332-2373,1.3,0,
AFRICA REVIEW,0974-4053,0.8,0,
AFRICA SPECTRUM,0002-0397,2,0.6,
AFRICAN AFFAIRS,0001-9909,2.8,1.381,
AFRICAN AMERICAN REVIEW,1062-4783,0.2,0.313,
AFRICAN AND ASIAN STUDIES,1569-2094,0.4,0.128,
AFRICAN ARCHAEOLOGICAL REVIEW,0263-0338,1.6,0.609,
AFRICAN ARTS,0001-9933,0.3,0.206,
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,1017-6772,2.9,0.441,
AFRICAN DIASPORA,1872-5457,0.6,0.346,
AFRICAN DISABILITY RIGHTS YEARBOOK,2311-8970,0.2,0.063,
AFRICAN ECONOMIC HISTORY,0145-2258,0.2,0.431,
AFRICAN ENTOMOLOGY,1021-3589,0.8,0.291,
AFRICAN GEOGRAPHICAL REVIEW,1937-6812,1.7,0.373,
AFRICAN HEALTH SCIENCES,1680-6905,1,0.294,
AFRICAN HISTORICAL REVIEW,1753-2523,0,0.253,
AFRICAN INVERTEBRATES,1681-5556,0.3,0.151,
AFRICAN JOURNAL OF ACCOUNTING AUDITING AND FINANCE,2046-8083,0.2,0.022,
AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS-AFJARE,1993-3738,0.6,0.184,
AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1.4,0.228,
AFRICAN JOURNAL OF BUSINESS ETHICS,1817-7417,0.1,0.175,
AFRICAN JOURNAL OF DISABILITY,2223-9170,1.7,0.584,
AFRICAN JOURNAL OF ECOLOGY,0141-6707,1,0.277,
AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES,2040-0705,1.3,0.209,
AFRICAN JOURNAL OF EMERGENCY MEDICINE,2211-419X,1.3,0.599,
AFRICAN JOURNAL OF HEALTH PROFESSIONS EDUCATION,2078-5127,0.3,0.072,
AFRICAN JOURNAL OF HERPETOLOGY,2156-4574,1.5,0.38,
AFRICAN JOURNAL OF INFORMATION SYSTEMS,1936-0282,0.7,0.099,
AFRICAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW,0954-8890,0.2,0.081,
AFRICAN JOURNAL OF LABORATORY MEDICINE,2225-2002,1.1,0.438,
AFRICAN JOURNAL OF LEGAL STUDIES,2210-9730,0.2,0.132,
AFRICAN JOURNAL OF LIBRARY ARCHIVES AND INFORMATION SCIENCE,0795-4778,0.4,0.14,
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1.2,0.254,
AFRICAN JOURNAL OF NEUROLOGICAL SCIENCES,1015-8618,0.1,0.025,
AFRICAN JOURNAL OF NURSING AND MIDWIFERY,1682-5055,0.3,0.08,
AFRICAN JOURNAL OF PRIMARY HEALTH CARE & FAMILY MEDICINE,2071-2928,2,0.593,
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1.4,0.327,
AFRICAN JOURNAL OF REPRODUCTIVE HEALTH,1118-4841,1,0.353,
AFRICAN JOURNAL OF RESEARCH IN MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION,1811-7295,0.9,0.209,
AFRICAN JOURNAL OF RHETORIC,1998-2054,0.1,0.049,
AFRICAN JOURNAL OF SCIENCE TECHNOLOGY INNOVATION & DEVELOPMENT,2042-1338,1.2,0.16,
AFRICAN JOURNAL OF UROLOGY,1110-5704,0.5,0.12,
AFRICAN JOURNAL OF WILDLIFE RESEARCH,2410-7220,0.9,0.221,
AFRICAN JOURNAL ON CONFLICT RESOLUTION,1562-6997,0.3,0.301,
AFRICAN JOURNALISM STUDIES,2374-3670,1,0.547,
AFRICAN REVIEW OF ECONOMICS AND FINANCE-AREF,2042-1478,1.4,0.125,
AFRICAN SECURITY,1939-2206,2,0.619,
AFRICAN SECURITY REVIEW,1024-6029,0.8,0.408,
AFRICAN STUDIES,0002-0184,0.9,0.388,
AFRICAN STUDIES REVIEW,0002-0206,1.6,0.63,
AFRICAN VISION AND EYE HEALTH JOURNAL,0378-9411,0.6,0.159,
AFRICAN ZOOLOGY,1562-7020,1.1,0.287,
AFRICANA LINGUISTICA,2033-8732,0.3,0.169,
AFRIKA MATEMATIKA,1012-9405,1.1,0.216,
AFRIQUES-DEBATS METHODES ET TERRAINS D HISTOIRE,2108-6796,0.1,1.198,
AFTERALL,1465-4253,0.1,0.179,
AGATHOS-AN INTERNATIONAL REVIEW OF THE HUMANITIES AND SOCIAL SCIENCES,2069-1025,0.1,0.057,
AGE AND AGEING,0002-0729,6.7,2.369,
AGE OF HUMAN RIGHTS JOURNAL,2340-9592,0.3,0.078,
AGEING & SOCIETY,0144-686X,2.5,0.703,
AGEING INTERNATIONAL,0163-5158,1.5,0.36,
AGEING RESEARCH REVIEWS,1568-1637,13.1,3.137,
AGENDA-A JOURNAL OF POLICY ANALYSIS AND REFORM,1322-1833,0.1,0.069,
AGENDA-EMPOWERING WOMEN FOR GENDER EQUITY,1013-0950,0.5,0.509,
AGER-REVISTA DE ESTUDIOS SOBRE DESPOBLACION Y DESARROLLO RURAL,1578-7168,1,0.201,
AGGREGATE,2692-4560,18.8,4.104,
AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,4.6,1.563,
AGGRESSIVE BEHAVIOR,0096-140X,2.9,1.023,
AGING & MENTAL HEALTH,1360-7863,3.4,0.943,
AGING AND DISEASE,2152-5250,7.4,1.495,
AGING CELL,1474-9718,7.8,2.455,
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667,4,0.866,
AGING MALE,1368-5538,2.6,0.559,
AGING MEDICINE AND HEALTHCARE,2663-8851,1,0.177,
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1.9,0.5,
AGING-US,1945-4589,5.2,1.085,
AGORA PARA LA EDUCACION FISICA Y EL DEPORTE,1578-2174,0.3,0.11,
AGORA-ESTUDOS CLASSICOS EM DEBATE,0874-5498,0.2,0.206,
AGORA-PAPELES DE FILOSOFIA,0211-6642,0.1,0.024,
AGRARFORSCHUNG SCHWEIZ,1663-7852,0.4,0.05,
AGREKON,0303-1853,1.3,0.263,
AGRI-THE JOURNAL OF THE TURKISH SOCIETY OF ALGOLOGY,1300-0012,0.6,0.173,
AGRIBUSINESS,0742-4477,3.2,0.526,
AGRICULTURAL & ENVIRONMENTAL LETTERS,2471-9625,2.6,0.691,
AGRICULTURAL AND FOOD ECONOMICS,2193-7532,3.9,0,
AGRICULTURAL AND FOOD SCIENCE,1459-6067,1.2,0.222,
AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1.6,0.405,
AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,6.2,1.343,
AGRICULTURAL AND RESOURCE ECONOMICS REVIEW,1068-2805,1.3,0.406,
AGRICULTURAL AND RESOURCE ECONOMICS-INTERNATIONAL SCIENTIFIC E-JOURNAL,2414-584X,1.3,0,
AGRICULTURAL ECONOMICS,0169-5150,4.1,1.028,
AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA,0139-570X,2.2,0.288,
AGRICULTURAL FINANCE REVIEW,0002-1466,1.6,0.319,
AGRICULTURAL HISTORY,0002-1482,0.6,0.416,
AGRICULTURAL HISTORY REVIEW,0002-1490,0.6,0.437,
AGRICULTURAL RESEARCH,2249-720X,1.4,0.223,
AGRICULTURAL SCIENCE AND PRACTICE,2312-3370,0.4,0.043,
AGRICULTURAL SYSTEMS,0308-521X,6.6,1.196,
AGRICULTURAL WATER MANAGEMENT,0378-3774,6.7,0.864,
AGRICULTURE AND HUMAN VALUES,0889-048X,4.5,1.023,
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,6.6,1.179,
AGRICULTURE-BASEL,2077-0472,3.6,0.434,
AGRIENGINEERING,2624-7402,2.8,0.335,
AGRISOST,1025-0247,0,0,
AGRITECH,0216-0455,0.1,0.018,
AGRIVITA,0126-0537,0.8,0.1,
AGROCHIMICA,0002-1857,0.4,0.058,
AGROCIENCIA,1405-3195,0.3,0.077,
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,2168-3565,2.6,0.645,
AGROFORESTRY SYSTEMS,0167-4366,2.2,0.402,
AGROINDUSTRIA SOCIEDAD Y AMBIENTE ASA,2343-6115,0,0,
AGROLIFE SCIENTIFIC JOURNAL,2285-5718,0.5,0.06,
AGRONOMIA MESOAMERICANA,2215-3608,0.5,0.092,
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,7.3,1.658,
AGRONOMY JOURNAL,0002-1962,2.1,0.417,
AGRONOMY-BASEL,2073-4395,3.7,0.495,
AGU ADVANCES,2576-604X,8.4,3.908,
AGUA Y TERRITORIO,2340-7743,0.2,0.104,
AI & SOCIETY,0951-5666,3,0.677,
AI COMMUNICATIONS,0921-7126,0.8,0.489,
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,0890-0604,2.1,0.344,
AI MAGAZINE,0738-4602,0.9,0.979,
AIAA JOURNAL,0001-1452,2.5,0.777,
AIB STUDI,2280-9112,0.3,0.054,
AIBR-REVISTA DE ANTROPOLOGIA IBEROAMERICANA,1695-9752,0.3,0.216,
AICHE JOURNAL,0001-1541,3.7,0.677,
AIDS,0269-9370,3.8,1.517,
AIDS AND BEHAVIOR,1090-7165,4.4,1.296,
