Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,1879-2030,ENGINEERING. AEROSPACE - SCIE,14.904,2.954,Q1,83.82,0.544,Q2,1.21,87,3.34,2.936,2.116,0.98,0.01355,2.89736,662,97.89,5.2,8.1,648
ACTA ASTRONOMICA,ACTA ASTRONOM,0001-5237,0001-5237,ASTRONOMY & ASTROPHYSICS - SCIE,1.391,1.974,Q3,38.41,0.881,Q2,0.45,47.53,0,2.46,1.821,0.235,0.00094,0.20202,17,100,13.7,10,17
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,1745-7270,Multiple,5.506,3.511,Q2,52.08,0.657,Q3,0.65,55.92,3.97,3.893,3.398,0.823,0.004,0.85598,164,93.9,6.3,5.8,154
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,1734-154X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,3.61,2.349,Q4,16.05,0.374,Q4,0.31,12.31,96.75,2.279,2.325,0.261,0.00162,0.34769,111,86.49,9.4,8,96
Acta Bioethica,ACTA BIOETH,1726-569X,1726-569X,Multiple,163,0.49,Q4,9.82,0.085,Q4,0.1,4.67,8.22,0.437,0.408,0.042,0.00011,0.02446,24,95.83,7.8,10.8,23
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,1900-1649,1900-1649,Multiple,450,0.676,Q4,9.94,0.131,Q4,0.19,11.82,99.35,0.654,0.618,0.176,0.00029,0.06368,51,88.24,6.5,10.7,45
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,0001-5296,1898-0295,PLANT SCIENCES - SCIE,505,1.103,Q4,21.22,0.129,Q4,0.31,26.55,0,1.063,1,0,0.00009,0.02101,8,100,11.7,11.2,8
Acta Biomaterialia,ACTA BIOMATER,1742-7061,1878-7568,Multiple,58.946,10.633,Q1,87.24,1.477,Q1,1.72,93.48,11.76,10.227,10.163,2.54,0.04185,8.94337,674,81.45,5.4,6.9,549
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,1851-6114,MEDICAL LABORATORY TECHNOLOGY - SCIE,93,0.043,Q4,1.72,0.01,Q4,0.03,1.52,0,0.071,0.014,0,0.00002,0.00438,8,100,N/A,9.7,8
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,1572-8358,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,748,1.185,Q4,6.14,0.239,Q4,0.33,9.7,14.67,1.062,1.13,0.524,0.00025,0.05493,21,85.71,16.4,14.2,18
Acta Botanica Brasilica,ACTA BOT BRAS,0102-3306,1677-941X,PLANT SCIENCES - SCIE,2.18,1.395,Q3,30.46,0.38,Q3,0.38,34.69,94.04,1.753,1.316,0.364,0.00133,0.28464,66,98.48,10,12.4,65
ACTA BOTANICA CROATICA,ACTA BOT CROAT,0365-0588,1847-8476,PLANT SCIENCES - SCIE,526,1.02,Q4,18.28,0.175,Q4,0.33,28.88,98.72,1.193,0.98,0.448,0.00024,0.05156,29,100,8.1,11.5,29
Acta Botanica Mexicana,ACTA BOT MEX,0187-7151,N/A,PLANT SCIENCES - SCIE,617,1,Q4,17.44,0.182,Q4,0.21,14.92,97.45,1,0.784,0.2,0.00033,0.07087,60,98.33,9.7,13.1,59
ACTA CARDIOLOGICA,ACTA CARDIOL,0001-5385,1784-973X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,1.371,1.738,Q4,12.94,0.387,Q4,0.33,29.71,2.11,1.523,1.656,0.418,0.00154,0.32937,110,80.91,6,7.2,89
Acta Cardiologica Sinica,ACTA CARDIOL SIN,1011-6842,N/A,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,824,1.8,Q4,17.13,0.304,Q4,0.42,41.3,0,1.705,1.575,0.265,0.00101,0.21728,49,85.71,4.6,8.6,42
ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,1580-2612,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,526,0.921,Q4,5.22,0.163,Q4,0.18,10.45,100,0.853,0.816,0.167,0.00014,0.03139,18,94.44,11.7,15.7,17
ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,N/A,CHEMISTRY. MULTIDISCIPLINARY - SCIE,2.569,2.789,Q3,42.74,0.263,Q3,0.33,42.19,0.23,2.092,2.064,0.591,0.00159,0.34079,154,64.94,4.9,5.2,100
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,1580-3155,CHEMISTRY. MULTIDISCIPLINARY - SCIE,2.011,1.524,Q4,22.07,0.169,Q4,0.25,35.04,99.72,1.516,1.123,0.231,0.00094,0.2016,104,99.04,6.6,8.8,103
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,1733-5329,ZOOLOGY - SCIE,1.244,1.145,Q3,33.24,0.364,Q2,0.62,45.53,0,1.801,1.013,0.195,0.00066,0.14112,41,100,9.9,11.8,41
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,0001-5415,N/A,ORTHOPEDICS - SCIE,509,0.222,Q4,0.58,0.087,Q4,0.12,9.84,0,0.397,0.198,0.152,0.00026,0.05559,33,100,8.3,9.5,33
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,0001-5458,0001-5458,SURGERY - SCIE,1.219,0.99,Q4,9.72,0.217,Q4,0.33,24.19,2.25,0.995,0.958,0.2,0.00082,0.17587,120,83.33,9.8,8.4,100
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,1233-2356,2083-5736,CHEMISTRY. ANALYTICAL - SCIE,652,2.011,Q4,24.71,0.15,Q4,0.4,27.78,99.3,1.35,1.789,1.064,0.00031,0.06795,47,95.74,4.8,8,45
Acta Cirurgica Brasileira,ACTA CIR BRAS,0102-8650,1678-2674,SURGERY - SCIE,1.793,1.564,Q4,23.46,0.209,Q4,0.47,36.74,96.14,1.28,1.503,0.2,0.0011,0.23701,90,100,7.1,7.6,90
ACTA CLINICA BELGICA,ACTA CLIN BELG,1784-3286,2295-3337,MEDICINE. GENERAL & INTERNAL - SCIE,1.454,1.682,Q3,25.87,0.341,Q3,0.31,51.82,2.62,1.404,1.655,0.893,0.00153,0.32708,121,85.12,5.6,6.3,103
Acta Clinica Croatica,ACTA CLIN CROAT,0353-9466,1333-9451,MEDICINE. GENERAL & INTERNAL - SCIE,1.023,0.932,Q4,13.08,0.194,Q4,0.21,40.27,88.89,1.121,0.832,0.01,0.00106,0.22815,101,92.08,4.6,8.9,93
Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,2053-2733,2053-2733,Multiple,12.907,2.331,Q3,48.08,0.86,Q2,0.64,63.62,35.98,2.698,1.912,0.547,0.00237,0.50828,5,100,19.6,8.2,53
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,N/A,2052-5206,Multiple,13.365,2.684,Q2,63.46,1.122,Q1,0.73,68.08,17.12,4.933,2.515,0.725,0.00541,1.15711,102,99.02,25.6,11.4,101
Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,2053-2296,2053-2296,Multiple,10.804,1.184,Q4,25,0.15,Q4,0.35,44.42,10.16,0.979,1.09,0.2,0.00128,0.27466,100,100,6.8,9.3,100
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2059-7983,2059-7983,Multiple,23.006,5.699,Q1,98.08,3.951,Q1,1.67,98.48,57.87,6.009,5.078,0.861,0.02041,4.36345,137,97.81,11.4,9.9,134
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,N/A,2053-230X,Multiple,2.229,1.072,Q4,21.15,0.342,Q2,0.28,25.76,24.9,1.079,1.056,0.41,0.00172,0.36822,61,98.36,8.1,10.8,60
ACTA CYTOLOGICA,ACTA CYTOL,0001-5547,1938-2650,PATHOLOGY - SCIE,2.495,3,Q3,44.81,0.548,Q3,0.59,42.13,8.29,2.343,2.692,0.431,0.00159,0.34021,72,80.56,11.4,6.7,58
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,1651-2057,DERMATOLOGY - SCIE,8.242,3.875,Q2,74.26,1.015,Q1,1.11,80.98,100,3.99,3.751,0.757,0.00774,1.65468,115,89.57,8.1,7.4,103
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,1330-027X,1847-6538,DERMATOLOGY - SCIE,573,1.444,Q4,15.44,0.358,Q4,0.26,17.93,0,1.621,1.444,N/A,0.00059,0.12649,N/A,N/A,6.2,N/A,N/A
ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,1432-5233,ENDOCRINOLOGY & METABOLISM - SCIE,5.746,4.087,Q2,51.71,0.943,Q3,0.9,68.61,23.28,3.929,3.907,1.054,0.00672,1.43737,168,84.52,5.3,6.3,142
Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,1841-0987,1843-066X,ENDOCRINOLOGY & METABOLISM - SCIE,520,1.104,Q4,5.14,0.211,Q4,0.2,10.83,0,1.107,1.055,0.031,0.0008,0.17237,64,96.88,3.8,8.1,62
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0374-1036,1804-6487,ENTOMOLOGY - SCIE,527,0.883,Q4,22.5,0.239,Q3,0.33,22.38,0.79,0.729,0.84,0.125,0.00058,0.12526,32,81.25,7.9,21.5,26
ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,1437-9546,Multiple,618,1.298,Q3,42.33,0.375,Q2,0.49,32.12,14.67,1.423,1.277,0.5,0.00046,0.09908,28,96.43,8.1,14.1,27
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,1784-3227,1784-3227,GASTROENTEROLOGY & HEPATOLOGY - SCIE,851,1.692,Q4,3.76,0.237,Q4,0.25,15.93,0,1.366,1.15,0.408,0.00067,0.14355,76,82.89,5.7,7.2,63
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,2213-5812,2213-5820,GEOCHEMISTRY & GEOPHYSICS - SCIE,605,1.768,Q3,33.91,0.37,Q4,0.45,41.5,15.97,1.601,1.573,0.324,0.00073,0.15635,37,100,5.3,11.3,37
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,1214-9705,N/A,Multiple,506,1,Q4,17.5,0.231,Q3,0.37,36.5,86.09,1.073,0.908,0.231,0.00041,0.08947,39,100,6.9,12.2,39
Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,1581-6613,1854-5106,GEOGRAPHY. PHYSICAL - SCIE,365,1.277,Q4,15.63,0.156,Q4,0.51,38.52,96.92,1.369,1.064,0.833,0.00016,0.03508,18,94.44,6.8,10,17
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0001-5709,2300-1887,GEOLOGY - SCIE,1.112,1.289,Q3,37.23,0.323,Q3,0.42,34.75,0,1.307,1.026,0.895,0.00042,0.08994,19,100,15.6,29.1,19
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1000-9515,1755-6724,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,6.496,3.282,Q2,55.97,0.585,Q3,0.35,23.57,0.42,2.879,2.695,0.404,0.00403,0.86244,218,98.62,8.9,13.8,215
Acta Geophysica,ACTA GEOPHYS,1895-6572,1895-7455,GEOCHEMISTRY & GEOPHYSICS - SCIE,2.202,2.293,Q3,46.55,0.381,Q3,0.58,52.5,15.38,1.96,2.152,0.698,0.00225,0.48092,172,99.42,4.7,9.9,171
Acta Geotechnica,ACTA GEOTECH,1861-1125,1861-1133,ENGINEERING. GEOLOGICAL - SCIE,6.018,5.57,Q1,84.15,1.231,Q1,1.57,92.74,8.86,5.736,4.434,0.885,0.00818,1.74949,312,99.04,3.6,9.5,309
Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,1854-0171,N/A,ENGINEERING. GEOLOGICAL - SCIE,125,0.5,Q4,1.22,0.134,Q4,0.12,10.48,0,0.719,0.5,N/A,0.00008,0.01736,N/A,N/A,7.2,N/A,N/A
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,0001-5792,1421-9662,HEMATOLOGY - SCIE,2.343,3.068,Q3,33.97,0.497,Q4,0.44,34.57,5.65,2.303,2.986,1.17,0.00165,0.35307,100,82,8.8,6.9,82
Acta Herpetologica,ACTA HERPETOL,1827-9635,1827-9643,ZOOLOGY - SCIE,364,1.075,Q3,29.83,0.285,Q3,0.48,29.89,11.32,1.168,1,0.077,0.00032,0.0688,13,100,7.6,12.5,13
ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,1618-0372,CELL BIOLOGY - SCIE,3.233,2.147,Q4,11.6,0.429,Q4,0.32,10.59,4.56,2.609,2.044,0.465,0.00222,0.47643,99,95.96,6.8,8.6,95
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,1347-5800,CELL BIOLOGY - SCIE,549,1.857,Q4,7.47,0.278,Q4,0.24,6.16,100,1.582,1.714,0.619,0.00024,0.05143,21,85.71,9.6,9.8,18
Acta Histriae,ACTA HISTRIAE,1318-0185,2591-1767,Multiple,130,0.183,N/A,7.35,0.311,Q3,0.72,59.37,0,0.28,0.099,0.19,0.00064,0.13766,42,100,5.2,22.6,42
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0137-1592,1734-1515,Multiple,708,0.913,Q4,19.6,0.23,Q4,0.39,26.72,95.81,0.958,0.852,0.269,0.00056,0.12164,52,100,8.2,12.9,52
ACTA INFORMATICA,ACTA INFORM,0001-5903,1432-0525,COMPUTER SCIENCE. INFORMATION SYSTEMS - SCIE,841,0.871,Q4,6.4,0.511,Q3,0.22,15.65,36.47,1.154,0.774,0.174,0.00066,0.1412,23,100,25.5,13.3,23
ACTA MATERIALIA,ACTA MATER,1359-6454,1873-2453,Multiple,112.177,9.209,Q1,96.84,2.007,Q1,1.98,98.35,10.92,10.46,8.443,2.04,0.07517,16.06478,843,100,8,10.1,843
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,0001-5962,1871-2509,MATHEMATICS - SCIE,5.417,3.75,Q1,98.34,6.582,Q1,3.42,98.84,100,5.218,3.75,0.333,0.00343,0.735,9,100,42.4,17.9,9
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,0236-5294,1588-2632,MATHEMATICS - SCIE,1.825,0.979,Q2,51.36,0.467,Q3,0.75,60.65,0,0.8,0.94,0.145,0.00244,0.52144,83,100,16.3,18.8,83
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,0252-9602,1572-9087,MATHEMATICS - SCIE,1.799,1.085,Q2,59.49,0.405,Q4,0.93,75.21,0,1.141,0.915,0.242,0.00237,0.50804,157,100,7.4,13.3,157
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,1439-8516,1439-7617,Multiple,1.923,0.833,Q3,39.61,0.466,Q3,0.5,31.39,0,0.819,0.817,0.14,0.00267,0.57111,100,100,10.6,16.9,100
Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,0168-9673,1618-3932,MATHEMATICS. APPLIED - SCIE,809,0.691,Q4,11.8,0.19,Q4,0.38,20.66,0,0.586,0.684,0.138,0.0007,0.15083,65,100,11.1,13.6,65
ACTA MECHANICA,ACTA MECH,0001-5970,1619-6937,MECHANICS - SCIE,8.562,2.645,Q2,52.54,0.465,Q3,0.64,54.91,11.9,2.443,2.469,0.599,0.006,1.28286,227,98.24,7.7,10.5,223
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,0567-7718,1614-3116,Multiple,3.079,2.91,Q2,59.06,0.467,Q2,0.67,62.43,5.12,2.592,2.16,0.775,0.00221,0.4724,120,90,6.9,8.1,108
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,0894-9166,1860-2134,Multiple,1.642,2.187,Q3,36.59,0.39,Q3,0.44,40.46,9.01,2.152,2.007,0.47,0.00117,0.25036,83,98.8,7.3,8.6,82
Acta Medica Mediterranea,ACTA MEDICA MEDITERR,0393-6384,2283-9720,MEDICINE. GENERAL & INTERNAL - SCIE,590,0.147,Q4,0.87,0.034,Q4,0.05,17.78,0,0.197,0.142,0.056,0.00066,0.14198,592,98.99,4.4,4,586
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,0386-300X,0386-300X,MEDICINE. RESEARCH & EXPERIMENTAL - SCIE,1.155,0.744,Q4,5.4,0.221,Q4,0.19,14.1,0,1.06,0.712,0.039,0.00084,0.18016,103,96.12,9.6,9.9,99
Acta Medica Portuguesa,ACTA MEDICA PORT,0870-399X,1646-0758,MEDICINE. GENERAL & INTERNAL - SCIE,1.32,1.698,Q3,26.45,0.239,Q4,0.31,51.82,94.35,1.194,1.619,0.471,0.00126,0.27026,121,93.39,5.2,6.4,113
ACTA METALLURGICA SINICA,ACTA METALL SIN,0412-1961,N/A,METALLURGY & METALLURGICAL ENGINEERING - SCIE,2.714,1.797,Q3,47.47,0.179,Q3,0.38,54.4,0,1.373,1.535,0.504,0.00145,0.31078,141,96.45,6.6,7.7,136
Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,1006-7191,2194-1289,METALLURGY & METALLURGICAL ENGINEERING - SCIE,3.316,3.024,Q2,72.78,0.346,Q2,0.72,80.77,0.54,2.69,2.453,0.492,0.00259,0.55542,181,95.03,4.3,5.9,172
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,1217-8950,1588-2640,Multiple,696,2.298,Q4,13.6,0.309,Q4,0.39,18.15,12.5,1.925,2.143,0.409,0.00058,0.12593,44,93.18,5.1,6.7,41
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,1335-1788,N/A,Multiple,536,1.833,Q3,37.5,0.155,Q4,0.51,56.45,76.35,1.368,1.56,0.188,0.0003,0.06439,64,100,5.4,4.6,64
Acta Naturae,ACTA NATURAE,2075-8251,2075-8251,CELL BIOLOGY - SCIE,1.507,2.204,Q4,12.11,0.379,Q4,0.22,5.17,90.07,2.329,2.097,0.313,0.00088,0.18907,48,43.75,6.7,7.6,21
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,0065-1400,1689-0035,NEUROSCIENCES - SCIE,1.418,1.269,Q4,5.29,0.309,Q4,0.27,7.7,84.21,1.734,1.256,0.028,0.00054,0.11552,36,80.56,10.8,9.6,29
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,0001-6268,0942-0940,Multiple,12.582,2.816,Q2,59.48,0.656,Q2,0.78,63.62,26.01,2.603,2.563,0.482,0.01012,2.16456,342,90.64,9,7.9,310
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,0300-9009,2240-2993,Multiple,2.132,2.471,Q3,26.18,0.533,Q4,0.45,24.91,5.13,2.341,2.389,0.735,0.00274,0.58729,181,81.22,4.2,7.9,147
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,0001-6314,1600-0404,CLINICAL NEUROLOGY - SCIE,8.854,3.915,Q2,55.42,0.909,Q3,0.83,61.61,18.18,3.536,3.799,0.658,0.00637,1.3634,146,85.62,11.1,6.5,125
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,1432-0533,Multiple,30.046,15.887,Q1,98.05,6.282,Q1,3.65,98.85,57.18,21.534,15.305,3.171,0.03384,7.2321,123,89.43,7.4,6.7,110
Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,2051-5960,2051-5960,NEUROSCIENCES - SCIE,8.201,7.578,Q1,86.68,2.354,Q1,1.57,90.98,99.83,8.221,7.36,1.644,0.01628,3.47972,191,94.76,3.6,7.3,181
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,1601-5215,1601-5215,Multiple,1.481,4.513,Q2,61.5,0.821,Q3,0.61,41.05,14.96,3.708,4.372,1.102,0.00157,0.33668,49,81.63,5.3,8.1,40
ACTA NUMERICA,ACTA NUMER,0962-4929,1474-0508,MATHEMATICS - SCIE,2.779,15.583,Q1,99.85,8.124,Q1,9.92,99.89,15.79,16.31,15.583,0.857,0.00223,0.47835,7,100,16,10.6,7
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,0001-6349,1600-0412,OBSTETRICS & GYNECOLOGY - SCIE,11.253,4.544,Q1,82.94,1.346,Q1,1.27,87.89,31.65,4.334,4.369,1.168,0.0114,2.43827,196,83.67,9.1,6.6,164
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0253-505X,1869-1099,OCEANOGRAPHY - SCIE,3.043,1.369,Q4,23.48,0.298,Q4,0.44,30.15,0,1.467,1.301,0.287,0.0025,0.53584,178,100,6.7,11.2,178
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,0001-6357,1502-3850,DENTISTRY. ORAL SURGERY & MEDICINE - SCIE,4.831,2.232,Q3,25.54,0.494,Q3,0.78,52.85,30.77,2.429,2.173,0.215,0.00229,0.49127,79,84.81,11.4,8.3,67
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1873-6238,ECOLOGY - SCIE,3.783,1.93,Q3,28.03,0.426,Q3,0.45,34.13,3.91,1.996,1.86,0.484,0.00186,0.39936,95,95.79,11,11.7,91
ACTA OECONOMICA,ACTA OECON,0001-6373,1588-2659,ECONOMICS - SSCI,285,0.939,Q4,14.12,0.133,Q4,0.34,31.84,29.6,0.74,0.646,0.047,0.00025,0.05397,43,97.67,5.7,10,42
Acta of Bioengineering and Biomechanics,ACTA BIOENG BIOMECH,1509-409X,N/A,Multiple,987,1.238,Q4,11.81,0.216,Q4,0.28,13.82,73.02,1.333,0.881,0.266,0.00078,0.16685,63,100,5.6,8.9,63
ACTA ONCOLOGICA,ACTA ONCOL,0284-186X,1651-226X,ONCOLOGY - SCIE,10.397,4.311,Q2,51.63,1.107,Q2,0.63,46.53,27.88,4.338,4.122,0.392,0.01084,2.31675,186,91.4,6.7,5.8,170
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,1755-375X,1755-3768,OPHTHALMOLOGY - SCIE,13.292,3.988,Q2,71.31,1,Q2,1.16,79.03,29.87,4.129,3.774,0.513,0.01292,2.76116,304,85.86,7.2,7.9,261
ACTA ORNITHOLOGICA,ACTA ORNITHOL,0001-6454,1734-8471,ORNITHOLOGY - SCIE,692,0.809,Q3,32.76,0.248,Q3,0.68,39.66,0,1.168,0.745,0.13,0.00025,0.05396,22,100,11.9,12.5,22
Acta Orthopaedica,ACTA ORTHOP,1745-3674,1745-3682,ORTHOPEDICS - SCIE,11.022,3.925,Q1,78.49,1.308,Q1,1.33,87.8,99.17,4.371,3.695,0.635,0.00749,1.60183,96,93.75,12.7,6.7,90
Acta Orthopaedica Belgica,ACTA ORTHOP BELG,0001-6462,0001-6462,ORTHOPEDICS - SCIE,2.149,0.35,Q4,1.74,0.197,Q4,0.12,9.84,0,0.761,0.327,0.007,0.00093,0.19963,144,90.97,11.6,10,131
Acta Orthopaedica et Traumatologica Turcica,ACTA ORTHOP TRAUMATO,1017-995X,1017-995X,ORTHOPEDICS - SCIE,1.684,1.557,Q4,25,0.395,Q4,0.53,36.61,98.6,1.717,1.443,0.075,0.00189,0.40548,93,92.47,5.8,9.7,86
Acta Ortopedica Brasileira,ACTA ORTOP BRAS,1413-7852,1809-4406,ORTHOPEDICS - SCIE,659,0.683,Q4,4.07,0.216,Q4,0.22,17.72,98.91,0.834,0.659,0.066,0.00068,0.14548,61,93.44,6.6,9,57
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,0001-6489,1651-2251,OTORHINOLARYNGOLOGY - SCIE,9.033,1.698,Q4,24.42,0.412,Q4,0.65,47.58,7.95,1.741,1.645,0.288,0.00419,0.89604,146,91.78,15.1,8.5,134
Acta Otorhinolaryngologica Italica,ACTA OTORHINOLARYNGO,0392-100X,1827-675X,OTORHINOLARYNGOLOGY - SCIE,2.586,2.618,Q2,56.98,0.567,Q3,0.88,66.94,99.06,2.804,2.26,0.303,0.00186,0.39918,89,86.52,7.6,7.5,77
ACTA PAEDIATRICA,ACTA PAEDIATR,0803-5253,1651-2227,PEDIATRICS - SCIE,17.876,4.056,Q1,83.46,0.935,Q2,1.03,79.08,30.72,3.44,3.839,1.147,0.01359,2.90429,307,75.9,10.3,6.7,233
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,0567-7920,1732-2421,PALEONTOLOGY - SCIE,2.968,2.108,Q2,66.98,0.664,Q1,0.84,69.44,100,2.314,1.946,0.708,0.00174,0.37325,65,100,11.8,17.7,65
ACTA PARASITOLOGICA,ACTA PARASITOL,1230-2821,1896-1851,Multiple,1.912,1.534,Q2,50.85,0.287,Q3,0.61,47.92,7.46,1.427,1.418,0.311,0.00167,0.35718,177,90.96,6.2,9.7,161
Acta Paulista de Enfermagem,ACTA PAUL ENFERM,0103-2100,1982-0194,Multiple,1.113,1.027,Q4,9.35,0.184,Q4,0.36,17.31,81.21,1.173,0.872,0.126,0.00077,0.16644,127,82.68,6.2,5.2,105
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,1000-0569,2095-8927,GEOLOGY - SCIE,10.047,1.468,Q3,45.74,0.365,Q3,0.62,56.78,0,1.793,1.159,0.316,0.00417,0.89312,212,99.06,10.2,12.1,210
ACTA PHARMACEUTICA,ACTA PHARMACEUT,1330-0075,1846-9558,PHARMACOLOGY & PHARMACY - SCIE,1.592,3.299,Q3,43.91,0.317,Q4,0.72,56.93,99.24,2.602,3.253,1.75,0.00063,0.13574,44,88.64,7.8,8.3,39
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,2211-3835,2211-3843,PHARMACOLOGY & PHARMACY - SCIE,9.42,14.903,Q1,97.31,1.926,Q1,3.29,99.58,98.68,12.905,13.888,3.236,0.00922,1.97091,263,63.5,2.9,5.9,167
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,1671-4083,1745-7254,Multiple,14.909,7.169,Q1,90.14,1.252,Q1,1.22,84.9,4.77,7.667,7.018,1.004,0.01116,2.38494,243,91.36,6,6.4,222
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,0587-4246,1898-794X,PHYSICS. MULTIDISCIPLINARY - SCIE,4.678,0.725,Q4,13.37,0.111,Q4,0.16,24.09,99.53,0.682,0.655,0.151,0.00312,0.66876,199,100,6.7,11.1,199
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,0587-4254,1509-5770,PHYSICS. MULTIDISCIPLINARY - SCIE,2.04,0.556,Q4,5.23,0.168,Q4,0.17,25,61.36,0.52,0.537,0.25,0.0016,0.34325,84,100,12.4,16.7,84
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,N/A,PHYSICS. MULTIDISCIPLINARY - SCIE,6.791,0.906,Q4,19.19,0.09,Q4,0.19,29.55,99.21,0.733,0.636,0.168,0.00358,0.76526,937,94.98,6.3,7.4,890
