JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,2192-2640,2192-2659,10,1.784
ADVANCED MATERIALS,ADV MATER,0935-9648,1521-4095,29.4,6.765
ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,0882-7958,2161-9425,0.5,0.087
ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,2196-7350,2196-7350,5.4,1.055
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,1536-1365,2169-0375,1.8,1.131
ADVANCED OPTICAL MATERIALS,ADV OPT MATER,2195-1071,2195-1071,9,2.039
ADVANCED ROBOTICS,ADV ROBOTICS,0169-1864,1568-5535,2,0.472
ADVANCED SCIENCE,ADV SCI,N/A,2198-3844,15.1,3.539
ADVANCED STEEL CONSTRUCTION,ADV STEEL CONSTR,1816-112X,N/A,1.7,0.201
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,1615-4150,1615-4169,5.4,0.94
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,1072-4109,1533-4031,6.7,1.502
ADVANCES IN APPLIED CERAMICS,ADV APPL CERAM,1743-6753,1743-6761,2.2,0.41
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,0188-7009,1661-4909,1.5,0.331
ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,0196-8858,1090-2074,1.1,0.729
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,ADV APPL MATH MECH,2070-0733,2075-1354,1.4,0.295
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,0001-8678,1475-6064,1.2,0.792
ADVANCES IN ASTRONOMY,ADV ASTRON,1687-7969,1687-7977,1.4,0.415
ADVANCES IN ATMOSPHERIC SCIENCES,ADV ATMOS SCI,0256-1530,1861-9533,5.8,1.275
ADVANCES IN CALCULUS OF VARIATIONS,ADV CALC VAR,1864-8258,1864-8266,1.7,1.344
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,0951-7197,1751-7605,2,0.364
ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,1548-5595,1548-5609,2.9,1.362
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,ADV CLIN EXP MED,1899-5276,2451-2680,2.1,0.383
ADVANCES IN COGNITIVE PSYCHOLOGY,ADV COGN PSYCHOL,1895-1171,1895-1171,1.2,0.403
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,0001-8686,1873-3727,15.6,2.209
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,0219-5259,1793-6802,0.4,0.37
ADVANCES IN CONDENSED MATTER PHYSICS,ADV COND MATTER PHYS,1687-8108,1687-8124,1.5,0.191
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,ADV DATA ANAL CLASSI,1862-5347,1862-5355,1.6,0.945
ADVANCES IN DIFFERENCE EQUATIONS,ADV DIFFER EQU-NY,1687-1847,1687-1847,4.1,0.486
ADVANCES IN DIFFERENTIAL EQUATIONS,ADV DIFFERENTIAL EQU,1079-9389,1079-9389,1.4,0.834
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ADV ELECTR COMPUT EN,1582-7445,1844-7600,0.8,0.129
ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,ADV ELECT ELECTR ENG,1336-1376,1804-3119,0.6,0.089
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,1873-5339,4.8,1.285
ADVANCES IN GEOMETRY,ADV GEOM,1615-715X,1615-7168,0.5,0.58
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,1573-1677,4,1.246
ADVANCES IN HIGH ENERGY PHYSICS,ADV HIGH ENERGY PHYS,1687-7357,1687-7365,1.7,0.329
ADVANCES IN LIFE COURSE RESEARCH,ADV LIFE COURSE RES,1040-2608,1040-2608,3.4,1.332
ADVANCES IN MATERIALS SCIENCE,ADV MATER RES-SWITZ,2083-4799,2083-4799,1.3,0.231
ADVANCES IN MATHEMATICAL PHYSICS,ADV MATH PHYS,1687-9120,1687-9139,1.2,0.229
ADVANCES IN MATHEMATICS,ADV MATH,0001-8708,1090-2082,1.7,1.965
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,ADV MATH COMMUN,1930-5346,1930-5338,0.9,0.407
ADVANCES IN METEOROLOGY,ADV METEOROL,1687-9309,1687-9317,2.9,0.501
ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,ADV NAT SCI-NANOSCI,2043-6254,2043-6262,2.1,0
ADVANCES IN NEONATAL CARE,ADV NEONAT CARE,1536-0903,1536-0911,1.7,0.556
ADVANCES IN NONLINEAR ANALYSIS,ADV NONLINEAR ANAL,2191-9496,2191-950X,4.2,1.588
ADVANCES IN NURSING SCIENCE,ADV NURS SCI,0161-9268,1550-5014,1.6,0.612
ADVANCES IN NUTRITION,ADV NUTR,2161-8313,2156-5376,9.3,2.569
ADVANCES IN OPTICS AND PHOTONICS,ADV OPT PHOTONICS,1943-8206,N/A,27.1,7.277
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,1522-1229,2.1,0.481
ADVANCES IN POLYMER TECHNOLOGY,ADV POLYM TECH,0730-6679,1098-2329,3.1,0.333
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,ADV PROD ENG MANAG,1854-6250,1855-6531,3.6,0.341
ADVANCES IN SKIN & WOUND CARE,ADV SKIN WOUND CARE,1527-7941,1538-8654,2.4,0.501
ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,1369-4332,2048-4011,2.6,0.451
ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS,ADV THEOR MATH PHYS,1095-0761,1095-0753,1.5,1.382
ADVANCES IN THERAPY,ADV THER,0741-238X,1865-8652,3.8,1.117
ADVANCES IN WATER RESOURCES,ADV WATER RESOUR,0309-1708,1872-9657,4.7,1.099
AEOLIAN RESEARCH,AEOLIAN RES,1875-9637,2212-1684,3.3,0.817
AEQUATIONES MATHEMATICAE,AEQUATIONES MATH,0001-9054,1420-8903,0.8,0.399
AEROBIOLOGIA,AEROBIOLOGIA,0393-5965,1573-3025,2,0.401
AERONAUTICAL JOURNAL,AERONAUT J,0001-9240,2059-6464,1.4,0.293
AEROSOL AND AIR QUALITY RESEARCH,AEROSOL AIR QUAL RES,1680-8584,2071-1409,4,0.548
AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,0278-6826,1521-7388,5.2,0.968
AEROSPACE,AEROSPACE,N/A,2226-4310,2.6,0.448
AEROSPACE AMERICA,AEROSPACE AM,0740-722X,0740-722X,0.1,0.028
AEROSPACE MEDICINE AND HUMAN PERFORMANCE,AEROSP MED HUM PERF,2375-6314,2375-6322,0.9,0.24
AEROSPACE SCIENCE AND TECHNOLOGY,AEROSP SCI TECHNOL,1270-9638,1626-3219,5.6,0.897
AESTHETIC PLASTIC SURGERY,AESTHET PLAST SURG,0364-216X,1432-5241,2.4,0.523
AESTHETIC SURGERY JOURNAL,AESTHET SURG J,1090-820X,1527-330X,2.9,0.794
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,1434-8411,1618-0399,3.2,0.43
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,AEVUM-RASS SCI STOR,0001-9593,1827-787X,0.1,0.382
AFINIDAD,AFINIDAD,0001-9704,2339-9686,0.3,0.049
AFRICA,AFRICA,0001-9720,1750-0184,1.2,0.64
AFRICA SPECTRUM,AFR SPECTR,0002-0397,1868-6869,2,0.6
AFRICAN AFFAIRS,AFR AFFAIRS,0001-9909,1468-2621,2.8,1.381
AFRICAN AMERICAN REVIEW,AFR AM REV,1062-4783,1945-6182,0.2,0.313
AFRICAN AND ASIAN STUDIES,AFR ASIAN STUD,1569-2094,1569-2108,0.4,0.128
AFRICAN ARCHAEOLOGICAL REVIEW,AFR ARCHAEOL REV,0263-0338,1572-9842,1.6,0.609
AFRICAN ARTS,AFR ARTS,0001-9933,1937-2108,0.3,0.206
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,AFR DEV REV,1017-6772,1467-8268,2.9,0.441
AFRICAN ECONOMIC HISTORY,AFR ECON HIST,0145-2258,2163-9108,0.2,0.431
AFRICAN ENTOMOLOGY,AFR ENTOMOL,1021-3589,2254-8854,0.8,0.291
AFRICAN HEALTH SCIENCES,AFR HEALTH SCI,1680-6905,1729-0503,1,0.294
AFRICAN INVERTEBRATES,AFR INVERTEBR,1681-5556,2305-2562,0.3,0.151
AFRICAN JOURNAL OF AQUATIC SCIENCE,AFR J AQUAT SCI,1608-5914,1727-9364,1.4,0.228
AFRICAN JOURNAL OF ECOLOGY,AFR J ECOL,0141-6707,1365-2028,1,0.277
AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,2156-4574,2153-3660,1.5,0.38
AFRICAN JOURNAL OF LIBRARY ARCHIVES AND INFORMATION SCIENCE,AFR J LIBR ARCH INFO,0795-4778,0795-4778,0.4,0.14
AFRICAN JOURNAL OF MARINE SCIENCE,AFR J MAR SCI,1814-232X,1814-2338,1.2,0.254
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,1022-0119,1727-9380,1.4,0.327
AFRICAN JOURNAL OF REPRODUCTIVE HEALTH,AFR J REPROD HEALTH,1118-4841,2141-3606,1,0.353
AFRICAN JOURNAL OF WILDLIFE RESEARCH,AFR J WILDL RES,2410-7220,2410-8200,0.9,0.221
AFRICAN STUDIES REVIEW,AFR STUD REV,0002-0206,1555-2462,1.6,0.63
AFRICAN ZOOLOGY,AFR ZOOL,1562-7020,2224-073X,1.1,0.287
AFRICANA LINGUISTICA,AFR LINGUIST,2033-8732,2034-8436,0.3,0.169
AFTERALL,AFTERALL,1465-4253,2156-4914,0.1,0.179
AGE AND AGEING,AGE AGEING,0002-0729,1468-2834,6.7,2.369
AGEING & SOCIETY,AGEING SOC,0144-686X,1469-1779,2.5,0.703
AGEING RESEARCH REVIEWS,AGEING RES REV,1568-1637,1872-9649,13.1,3.137
AGGRESSION AND VIOLENT BEHAVIOR,AGGRESS VIOLENT BEH,1359-1789,1873-6335,4.6,1.563
AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,0096-140X,1098-2337,2.9,1.023
AGING & MENTAL HEALTH,AGING MENT HEALTH,1360-7863,1364-6915,3.4,0.943
AGING AND DISEASE,AGING DIS,2152-5250,2152-5250,7.4,1.495
AGING CELL,AGING CELL,1474-9718,1474-9726,7.8,2.455
AGING CLINICAL AND EXPERIMENTAL RESEARCH,AGING CLIN EXP RES,1594-0667,1720-8319,4,0.866
AGING MALE,AGING MALE,1368-5538,1473-0790,2.6,0.559
AGING NEUROPSYCHOLOGY AND COGNITION,AGING NEUROPSYCHOL C,1382-5585,1744-4128,1.9,0.5
AGING-US,AGING-US,1945-4589,N/A,5.2,1.085
AGORA-ESTUDOS CLASSICOS EM DEBATE,AGORA-ESTUD CLASS DE,0874-5498,N/A,0.2,0.206
AGRARFORSCHUNG SCHWEIZ,AGRARFORSCH SCHWEIZ+,1663-7852,1663-7909,0.4,0.05
AGREKON,AGREKON,0303-1853,2078-0400,1.3,0.263
AGRIBUSINESS,AGRIBUSINESS,0742-4477,1520-6297,3.2,0.526
AGRICULTURAL AND FOOD SCIENCE,AGR FOOD SCI,1459-6067,1795-1895,1.2,0.222
AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,0168-1923,1873-2240,6.2,1.343
AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA,AGR ECON-CZECH,0139-570X,1805-9295,2.2,0.288
AGRICULTURAL HISTORY,AGR HIST,0002-1482,1533-8290,0.6,0.416
AGRICULTURAL HISTORY REVIEW,AGR HIST REV,0002-1490,0002-1490,0.6,0.437
AGRICULTURAL RESEARCH,AGR RES,2249-720X,2249-7218,1.4,0.223
AGRICULTURAL SYSTEMS,AGR SYST,0308-521X,1873-2267,6.6,1.196
AGRICULTURAL WATER MANAGEMENT,AGR WATER MANAGE,0378-3774,1873-2283,6.7,0.864
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,1873-2305,6.6,1.179
AGROCHIMICA,AGROCHIMICA,0002-1857,N/A,0.4,0.058
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,AGROECOL SUST FOOD,2168-3565,2168-3573,2.6,0.645
AGROFORESTRY SYSTEMS,AGROFOREST SYST,0167-4366,1572-9680,2.2,0.402
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,AGRON SUSTAIN DEV,1774-0746,1773-0155,7.3,1.658
AGRONOMY JOURNAL,AGRON J,0002-1962,1435-0645,2.1,0.417
AI COMMUNICATIONS,AI COMMUN,0921-7126,1875-8452,0.8,0.489
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,1469-1760,2.1,0.344
AI MAGAZINE,AI MAG,0738-4602,2371-9621,0.9,0.979
AIAA JOURNAL,AIAA J,0001-1452,1533-385X,2.5,0.777
AIBR-REVISTA DE ANTROPOLOGIA IBEROAMERICANA,AIBR-REV ANTROPOL IB,1695-9752,1578-9705,0.3,0.216
AICHE JOURNAL,AICHE J,0001-1541,1547-5905,3.7,0.677
AIDS,AIDS,0269-9370,1473-5571,3.8,1.517
AIDS AND BEHAVIOR,AIDS BEHAV,1090-7165,1573-3254,4.4,1.296
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,AIDS CARE,0954-0121,1360-0451,1.7,0.686
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1943-2755,1.8,0.738
AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,1087-2914,1557-7449,4.9,1.45
AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,0889-2229,1931-8405,1.5,0.482
AIDS RESEARCH AND THERAPY,AIDS RES THER,1742-6405,1742-6405,2.2,0.736
AIDS REVIEWS,AIDS REV,1139-6121,1698-6997,2.2,0.62
AILA REVIEW,AILA REV,1461-0213,1570-5595,0.4,0.346
AIP ADVANCES,AIP ADV,N/A,2158-3226,1.6,0.322
AIR QUALITY ATMOSPHERE AND HEALTH,AIR QUAL ATMOS HLTH,1873-9318,1873-9326,5.1,0.631
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,AIRCR ENG AEROSP TEC,1748-8842,1758-4213,1.5,0.178
AJAR-AFRICAN JOURNAL OF AIDS RESEARCH,AJAR-AFR J AIDS RES,1608-5906,1727-9445,1.2,0.426
AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,AJIDD-AM J INTELLECT,1944-7515,1944-7558,2.1,0.767
AJS REVIEW-THE JOURNAL OF THE ASSOCIATION FOR JEWISH STUDIES,AJS REV,0364-0094,1475-4541,0.4,0.864
AKKADICA,AKKADICA,1378-5087,0779-7842,0.2,0.421
AKTUELLE ERNAHRUNGSMEDIZIN,AKTUEL ERNAHRUNGSMED,0341-0501,1438-9916,0.3,0.042
AKTUELLE RHEUMATOLOGIE,AKTUEL RHEUMATOL,0341-051X,1438-9940,0.2,0.021
AKTUELLE UROLOGIE,AKTUEL UROL,0001-7868,1438-8820,0.3,0.049
AL-MASAQ-JOURNAL OF THE MEDIEVAL MEDITERRANEAN,AL-MASAQ,0950-3110,1473-348X,0.3,0.276
AL-QANTARA,AL-QANTARA,0211-3589,1988-2955,0.1,0.388
AL-SHAJARAH,AL-SHAJARAH,1394-6870,1394-6870,0.2,0.066
ALCHERINGA,ALCHERINGA,0311-5518,1752-0754,1.3,0.375
ALCOHOL,ALCOHOL,0741-8329,1873-6823,2.3,0.587
ALCOHOL AND ALCOHOLISM,ALCOHOL ALCOHOLISM,0735-0414,1464-3502,2.8,0.836
ALCOHOL RESEARCH-CURRENT REVIEWS,ALCOHOL RES-CURR REV,1535-7414,1930-0573,9.4,4.063
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,ALCOHOL CLIN EXP RES,0145-6008,1530-0277,3.2,1.1
ALDRICHIMICA ACTA,ALDRICHIM ACTA,0002-5100,N/A,3.6,0.714
ALEA-ESTUDOS NEOLATINOS,ALEA-ESTUD NEOLAT,1517-106X,1807-0299,0.1,0.29
ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,ALEA-LAT AM J PROBAB,1980-0436,N/A,0.7,0.738
ALEPH-HISTORICAL STUDIES IN SCIENCE & JUDAISM,ALEPH,1565-1525,1565-5423,0.3,0.298
ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,ALGAL RES,2211-9264,2211-9264,5.1,0.771
ALGEBRA & NUMBER THEORY,ALGEBR NUMBER THEORY,1937-0652,1944-7833,1.3,1.664
ALGEBRA AND DISCRETE MATHEMATICS,ALG DIS MTHM,1726-3255,2415-721X,0.2,0.172
ALGEBRA AND LOGIC,ALGEBR LOG+,0002-5232,1573-8302,0.5,0.434
ALGEBRA COLLOQUIUM,ALGEBR COLLOQ,1005-3867,0219-1733,0.3,0.277
ALGEBRAIC AND GEOMETRIC TOPOLOGY,ALGEBR GEOM TOPOL,1472-2739,1472-2739,0.7,1.205
ALGEBRAS AND REPRESENTATION THEORY,ALGEBR REPRESENT TH,1386-923X,1572-9079,0.6,0.583
ALGORITHMICA,ALGORITHMICA,0178-4617,1432-0541,1.1,0.62
ALGORITHMS,LECT NOTES COMPUT SC,N/A,1999-4893,2.3,0.399
ALGORITHMS FOR MOLECULAR BIOLOGY,ALGORITHM MOL BIOL,N/A,1748-7188,1,0.553
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,ALLERGOL IMMUNOPATH,0301-0546,1578-1267,1.8,0.392
ALLERGOLOGIE,ALLERGOLOGIE,0344-5062,0344-5062,0.5,0.043
ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,1323-8930,1440-1592,6.8,1.426
ALLERGY,ALLERGY,0105-4538,1398-9995,12.4,2.574
ALLERGY AND ASTHMA PROCEEDINGS,ALLERGY ASTHMA PROC,1088-5412,1539-6304,2.8,0.626
ALLERGY ASTHMA & IMMUNOLOGY RESEARCH,ALLERGY ASTHMA IMMUN,2092-7355,2092-7363,4.4,1.033
ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,ALLERGY ASTHMA CL IM,1710-1492,1710-1492,2.7,0.889
ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,ALPHA-REV ARTES LET,0716-4254,0718-2201,0.1,0.108
ALPINE BOTANY,ALPINE BOT,1664-2201,1664-221X,2.7,0.786
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,ALTERN THER HEALTH M,1078-6791,1078-6791,1.5,0.245
ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION,ALTEX-ALTERN ANIM EX,1868-596X,1868-8551,5.6,1.143
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,ALZ DIS ASSOC DIS,0893-0341,0893-0341,2.1,0.986
ALZHEIMERS & DEMENTIA,ALZHEIMERS DEMENT,1552-5260,1552-5279,14,5.446
ALZHEIMERS RESEARCH & THERAPY,ALZHEIMERS RES THER,N/A,1758-9193,9,2.623
AMA-AGRICULTURAL MECHANIZATION IN ASIA AFRICA AND LATIN AMERICA,AMA-AGR MECH ASIA AF,0084-5841,N/A,0.3,0.052
AMB EXPRESS,AMB EXPRESS,2191-0855,2191-0855,3.7,0.595
AMBIO,AMBIO,0044-7447,1654-7209,6.5,1.504
AMBIX,AMBIX,0002-6980,1745-8234,0.5,0.203
AMEGHINIANA,AMEGHINIANA,0002-7014,1851-8044,1,0.378
AMERASIA JOURNAL,AMERASIA J,0044-7471,0044-7471,0.4,0.28
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,1543-0375,1,0.289
AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,0002-7294,1548-1433,3.5,1.476
AMERICAN ANTIQUITY,AM ANTIQUITY,0002-7316,2325-5064,2.8,1.059
AMERICAN ART,AM ART,1073-9300,1549-6503,0.2,0.353
AMERICAN BEHAVIORAL SCIENTIST,AM BEHAV SCI,0002-7642,1552-3381,3.2,1.328
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,1938-4211,0.5,0.132
AMERICAN BOOK REVIEW,AM BOOK REV,0149-9408,2153-4578,1,1.676
AMERICAN BUSINESS LAW JOURNAL,AM BUS LAW J,0002-7766,1744-1714,1.2,0.669
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY,AM CATH PHILOS QUART,1051-3558,2153-8441,0.2,0.304
AMERICAN CRIMINAL LAW REVIEW,AM CRIM LAW REV,0164-0364,0164-0364,0.4,0.331
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,AM ECON J-APPL ECON,1945-7782,1945-7790,6.2,10.542
AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,AM ECON J-ECON POLIC,1945-7731,1945-774X,5.3,7.453
AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AM ECON J-MACROECON,1945-7707,1945-7715,6,8.794
AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,AM ECON J-MICROECON,1945-7669,1945-7685,2.4,3.544
AMERICAN ECONOMIC REVIEW,AM ECON REV,0002-8282,1944-7981,10.7,15.12
AMERICAN EDUCATIONAL RESEARCH JOURNAL,AM EDUC RES J,0002-8312,1935-1011,3.6,2.756
AMERICAN ETHNOLOGIST,AM ETHNOL,0094-0496,1548-1425,2.3,1.649
AMERICAN FAMILY PHYSICIAN,AM FAM PHYSICIAN,0002-838X,1532-0650,4,1.663
AMERICAN FERN JOURNAL,AM FERN J,0002-8444,1938-422X,0.8,0.359
AMERICAN HEART JOURNAL,AM HEART J,0002-8703,1097-6744,4.8,2.005
AMERICAN HISTORICAL REVIEW,AM HIST REV,0002-8762,1937-5239,1.5,1.963
AMERICAN HISTORY,AM HIST,1076-8866,N/A,0.1,0.048
AMERICAN IMAGO,AM IMAGO,0065-860X,1085-7931,0.8,0.328
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,AM INDIAN ALASKA NAT,1533-7731,1533-7731,1.3,0.737
AMERICAN JEWISH HISTORY,AM JEWISH HIST,0164-0178,1086-3141,0.1,0.247
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AM J AGR ECON,0002-9092,1467-8276,4.2,1.609
AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,AM J ALZHEIMERS DIS,1533-3175,1938-2731,3.4,0.737
AMERICAN JOURNAL OF ARCHAEOLOGY,AM J ARCHAEOL,0002-9114,1939-828X,1.2,1.094
AMERICAN JOURNAL OF AUDIOLOGY,AM J AUDIOL,1059-0889,1558-9137,1.8,0.552
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,1526-5161,1536-0075,13.4,4.434
AMERICAN JOURNAL OF BOTANY,AM J BOT,0002-9122,1537-2197,3,0.965
AMERICAN JOURNAL OF CANCER RESEARCH,AM J CANCER RES,2156-6976,2156-6976,5.3,1.002
AMERICAN JOURNAL OF CARDIOLOGY,AM J CARDIOL,0002-9149,1879-1913,2.8,0.957
AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS,AM J CARDIOVASC DRUG,1175-3277,1179-187X,3,0.754
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,0192-415X,1793-6853,5.7,0.659
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,1175-0561,1179-1888,7.3,2.103
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,AM J CLIN HYPN,0002-9157,2160-0562,1.3,0.34
AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,0002-9165,1938-3207,7.1,2.094
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,AM J CLIN ONCOL-CANC,0277-3732,1537-453X,2.6,0.756
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,0002-9173,1943-7722,3.5,0.931
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,0091-0562,1573-2770,3.1,1.197
AMERICAN JOURNAL OF COMPARATIVE LAW,AM J COMP LAW,0002-919X,2326-9197,1.5,0.601
AMERICAN JOURNAL OF CRITICAL CARE,AM J CRIT CARE,1062-3264,1937-710X,2.7,0.828
AMERICAN JOURNAL OF DANCE THERAPY,AM J DANCE THER,0146-3721,1573-3262,0.8,0.183
AMERICAN JOURNAL OF DENTISTRY,AM J DENT,0894-8275,N/A,1.4,0.325
AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,0193-1091,1533-0311,1.1,0.308
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,0095-2990,1097-9891,2.7,1.403
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,AM J ECON SOCIOL,0002-9246,1536-7150,0.8,0.512
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0195-6744,1549-6511,2.5,1.495
AMERICAN JOURNAL OF EMERGENCY MEDICINE,AM J EMERG MED,0735-6757,1532-8171,3.6,0.834
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,AM J ENOL VITICULT,0002-9254,1943-7749,1.9,0.325
AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,0002-9262,1476-6256,5,2.649
AMERICAN JOURNAL OF EVALUATION,AM J EVAL,1098-2140,1557-0878,1.7,0.594
AMERICAN JOURNAL OF FAMILY THERAPY,AM J FAM THER,0192-6187,1521-0383,1.4,0.339
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,AM J FOREN MED PATH,0195-7910,1533-404X,1,0.342
AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,0002-9270,1572-0241,9.8,4.203
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,1064-7481,1545-7214,7.2,1.703
AMERICAN JOURNAL OF HEALTH BEHAVIOR,AM J HEALTH BEHAV,1945-7359,N/A,2.3,0.512
AMERICAN JOURNAL OF HEALTH ECONOMICS,AM J HEALTH ECON,2332-3493,2332-3507,3.7,2.279
AMERICAN JOURNAL OF HEALTH PROMOTION,AM J HEALTH PROMOT,0890-1171,2168-6602,2.7,0.823
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,AM J HEALTH-SYST PH,1079-2082,1535-2900,2.7,0.616
AMERICAN JOURNAL OF HEMATOLOGY,AM J HEMATOL,0361-8609,1096-8652,12.8,3.475
AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE,AM J HOSP PALLIAT ME,1049-9091,1938-2715,1.9,0.631
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1042-0533,1520-6300,2.9,0.649
AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,0002-9297,1537-6605,9.8,5.545
AMERICAN JOURNAL OF HYPERTENSION,AM J HYPERTENS,0895-7061,1941-7225,3.2,0.885
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,0271-3586,1097-0274,3.5,0.889
