JournalFullName,Journal,ISSN,2021IF,2021AI
Advances in Climate Change Research,ADV CLIM CHANG RES,1674-9278,4.746,1.26
Advances in Clinical and Experimental Medicine,ADV CLIN EXP MED,1899-5276,1.736,0.373
Advances in Clinical Chemistry,ADV CLIN CHEM,0065-2423,6.303,1.224
Advances in Cognitive Psychology,ADV COGN PSYCHOL,1895-1171,1.217,0.542
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,0001-8686,15.19,2.143
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,0219-5259,0.58,0.324
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,1019-7168,1.929,0.89
Advances in Computers,ADV COMPUT,0065-2458,3.067,0.449
Advances in Concrete Construction,ADV CONCR CONSTR,2287-5301,2.58,0.352
Advances in Condensed Matter Physics,ADV COND MATTER PHYS,1687-8108,1.316,0.221
Advances in Data Analysis and Classification,ADV DATA ANAL CLASSI,1862-5347,1.944,0.82
Advances in Difference Equations,ADV DIFFER EQU-NY,1687-1847,3.761,0.467
Advances in Differential Equations,ADV DIFFERENTIAL EQU,1079-9389,1.103,0.896
Advances in Ecological Research,ADV ECOL RES,0065-2504,5.182,2.101
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,0.825,0.101
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,4.255,1.387
Advances in Experimental Medicine and Biology,ADV EXP MED BIOL,0065-2598,3.65,0.713
Advances in Genetics,ADV GENET,0065-2660,3.88,1.2
ADVANCES IN GEOMETRY,ADV GEOM,1615-715X,0.763,0.589
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,3.629,1.34
Advances in Heterocyclic Chemistry,ADV HETEROCYCL CHEM,0065-2725,3.606,0.665
Advances in High Energy Physics,ADV HIGH ENERGY PHYS,1687-7357,1.771,0.382
Advances in Immunology,ADV IMMUNOL,0065-2776,5.324,2.245
Advances in Inorganic Chemistry,ADV INORG CHEM,0898-8838,2.93,0.524
Advances in Insect Physiology,ADV INSECT PHYSIOL,0065-2806,3.6,1.056
Advances in Life Course Research,ADV LIFE COURSE RES,1040-2608,5.548,1.493
Advances in Manufacturing,ADV MANUF,2095-3127,3.837,0.68
Advances in Marine Biology,ADV MAR BIOL,0065-2881,3.172,1.029
Advances in Materials Science and Engineering,ADV MATER SCI ENG,1687-8434,2.098,0.328
Advances in Mathematical Physics,ADV MATH PHYS,1687-9120,1.364,0.242
ADVANCES IN MATHEMATICS,ADV MATH,0001-8708,1.675,1.994
Advances in Mathematics of Communications,ADV MATH COMMUN,1930-5346,1.015,0.645
Advances in Mechanical Engineering,ADV MECH ENG,1687-8132,1.566,0.272
Advances in Medical Sciences,ADV MED SCI-POLAND,1896-1126,2.852,0.625
Advances in Meteorology,ADV METEOROL,1687-9309,2.223,0.49
Advances in Microbial Physiology,ADV MICROB PHYSIOL,0065-2911,4.731,1.287
Advances in Nano Research,ADV NANO RES,2287-237X,9.539,0.656
Advances in Neonatal Care,ADV NEONAT CARE,1536-0903,1.874,0.509
Advances in Nonlinear Analysis,ADV NONLINEAR ANAL,2191-9496,4.544,1.775
ADVANCES IN NURSING SCIENCE,ADV NURS SCI,0161-9268,2.147,0.511
Advances in Nutrition,ADV NUTR,2161-8313,11.567,2.844
Advances in Optics and Photonics,ADV OPT PHOTONICS,1943-8206,24.75,6.547
Advances in Organometallic Chemistry,ADV ORGANOMET CHEM,0065-3055,4.55,1.036
Advances in Parasitology,ADV PARASIT,0065-308X,3.125,1.572
Advances in Physical Organic Chemistry,ADV PHYS ORG CHEM,0065-3160,1.143,0.855
ADVANCES IN PHYSICS,ADV PHYS,0001-8732,23.75,12.81
Advances in Physics-X,ADV PHYS-X,2374-6149,8.526,2.397
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,2.396,0.634
ADVANCES IN POLYMER TECHNOLOGY,ADV POLYM TECH,0730-6679,2.502,0.314
Advances in Production Engineering & Management,ADV PROD ENG MANAG,1854-6250,3.419,0.317
Advances in Protein Chemistry and Structural Biology,ADV PROTEIN CHEM STR,1876-1623,5.447,0.842
Advances in Quantum Chemistry,ADV QUANTUM CHEM,0065-3276,1,0.265
Advances in Rheumatology,ADV RHEUMATOL,2523-3106,3.01,0.616
Advances in Skin & Wound Care,ADV SKIN WOUND CARE,1527-7941,2.373,0.461
ADVANCES IN SPACE RESEARCH,ADV SPACE RES,0273-1177,2.611,0.554
Advances in Strategic Management-A Research Annual,ADV STRATEG MANAGE,0742-3322,0.275,0.808
ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,1369-4332,2.438,0.403
Advances in the Study of Behavior,ADV STUD BEHAV,0065-3454,4.091,1.763
Advances in Theoretical and Mathematical Physics,ADV THEOR MATH PHYS,1095-0761,1.722,1.379
ADVANCES IN THERAPY,ADV THER,0741-238X,4.07,1.068
Advances in Virus Research,ADV VIRUS RES,0065-3527,9.938,3.868
ADVANCES IN WATER RESOURCES,ADV WATER RESOUR,0309-1708,5.361,1.244
Advances in Wound Care,ADV WOUND CARE,2162-1918,4.947,1.07
Aeolian Research,AEOLIAN RES,1875-9637,3.988,0.872
Aequationes Mathematicae,AEQUATIONES MATH,0001-9054,0.984,0.432
AERA Open,AERA OPEN,2332-8584,3.427,2.027
AEROBIOLOGIA,AEROBIOLOGIA,0393-5965,2.376,0.408
AERONAUTICAL JOURNAL,AERONAUT J,0001-9240,1.222,0.305
Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,1680-8584,4.53,0.564
AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,0278-6826,4.809,0.878
Aerospace,AEROSPACE-BASEL,2226-4310,2.66,0.445
AEROSPACE AMERICA,AEROSPACE AM,0740-722X,0.092,0.016
Aerospace Medicine and Human Performance,AEROSP MED HUM PERF,2375-6314,1.051,0.261
AEROSPACE SCIENCE AND TECHNOLOGY,AEROSP SCI TECHNOL,1270-9638,5.457,0.741
AESTHETIC PLASTIC SURGERY,AESTHET PLAST SURG,0364-216X,2.708,0.515
Aesthetic Surgery Journal,AESTHET SURG J,1090-820X,4.485,0.955
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,1434-8411,3.169,0.384
AFINIDAD,AFINIDAD,0001-9704,0.354,0.041
AFRICA,AFRICA,0001-9720,1.235,0.739
Africa Spectrum,AFR SPECTR,0002-0397,1.818,0.778
AFRICAN AFFAIRS,AFR AFFAIRS,0001-9909,3.017,1.583
African and Asian Studies,AFR ASIAN STUD,1569-2094,0.25,0.099
African Archaeological Review,AFR ARCHAEOL REV,0263-0338,1.407,0.713
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,AFR DEV REV,1017-6772,2.766,0.301
AFRICAN ENTOMOLOGY,AFR ENTOMOL,1021-3589,0.573,0.255
African Health Sciences,AFR HEALTH SCI,1680-6905,1.108,0.328
AFRICAN INVERTEBRATES,AFR INVERTEBR,1681-5556,0.696,0.148
AFRICAN JOURNAL OF AQUATIC SCIENCE,AFR J AQUAT SCI,1608-5914,1.755,0.251
AFRICAN JOURNAL OF ECOLOGY,AFR J ECOL,0141-6707,0.923,0.267
African Journal of Emergency Medicine,AFR J EMERG MED,2211-419X,1.451,0.632
AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,2156-4574,2.563,0.326
African Journal of Library Archives and Information Science,AFR J LIBR ARCH INFO,0795-4778,0.207,0.079
AFRICAN JOURNAL OF MARINE SCIENCE,AFR J MAR SCI,1814-232X,0.893,0.241
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,1022-0119,1.966,0.366
African Journal of Reproductive Health,AFR J REPROD HEALTH,1118-4841,0.961,0.379
African Journal of Wildlife Research,AFR J WILDL RES,2410-7220,1.27,0.33
African Journalism Studies,AFR JOURNAL STUD,2374-3670,1.673,0.395
AFRICAN STUDIES,AFR STUD-UK,0002-0184,0.679,0.279
African Studies Review,AFR STUD REV,0002-0206,1.82,0.788
AFRICAN ZOOLOGY,AFR ZOOL,1562-7020,1.39,0.293
Africana Linguistica,AFR LINGUIST,2033-8732,0.833,0.449
AGE AND AGEING,AGE AGEING,0002-0729,12.782,2.537
AGEING & SOCIETY,AGEING SOC,0144-686X,3.718,0.841
AGEING RESEARCH REVIEWS,AGEING RES REV,1568-1637,11.788,3.033
AGGRESSION AND VIOLENT BEHAVIOR,AGGRESS VIOLENT BEH,1359-1789,4.874,1.439
AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,0096-140X,3.047,1.07
AGING & MENTAL HEALTH,AGING MENT HEALTH,1360-7863,3.514,0.969
Aging and Disease,AGING DIS,2152-5250,9.968,1.563
AGING CELL,AGING CELL,1474-9718,11.005,2.608
AGING CLINICAL AND EXPERIMENTAL RESEARCH,AGING CLIN EXP RES,1594-0667,4.481,0.842
Aging Male,AGING MALE,1368-5538,2.398,0.447
AGING NEUROPSYCHOLOGY AND COGNITION,AGING NEUROPSYCHOL C,1382-5585,2.102,0.575
Aging-US,AGING-US,1945-4589,5.955,1.161
Agrarforschung Schweiz,AGRARFORSCH SCHWEIZ+,1663-7852,0.258,0.049
Agrekon,AGREKON,0303-1853,1.733,0.285
Agribusiness,AGRIBUSINESS,0742-4477,2.841,0.457
Agricultural & Environmental Letters,AGR ENV LETT,2471-9625,2.612,0.775
AGRICULTURAL AND FOOD SCIENCE,AGR FOOD SCI,1459-6067,1.242,0.184
AGRICULTURAL AND FOREST ENTOMOLOGY,AGR FOREST ENTOMOL,1461-9555,2.126,0.43
AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,0168-1923,6.424,1.321
AGRICULTURAL ECONOMICS,AGR ECON-BLACKWELL,0169-5150,3.887,0.988
Agricultural Economics-Zemedelska Ekonomika,AGR ECON-CZECH,0139-570X,2.567,0.261
AGRICULTURAL HISTORY,AGR HIST,0002-1482,0.462,0.339
AGRICULTURAL SYSTEMS,AGR SYST,0308-521X,6.765,1.234
AGRICULTURAL WATER MANAGEMENT,AGR WATER MANAGE,0378-3774,6.611,0.889
AGRICULTURE AND HUMAN VALUES,AGR HUM VALUES,0889-048X,4.908,0.963
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,6.576,1.21
Agriculture-Basel,AGRICULTURE-BASEL,2077-0472,3.408,0.433
AGROCHIMICA,AGROCHIMICA,0002-1857,0.283,0.057
AGROCIENCIA,AGROCIENCIA-MEXICO,1405-3195,0.436,0.101
Agroecology and Sustainable Food Systems,AGROECOL SUST FOOD,2168-3565,2.615,0.596
AGROFORESTRY SYSTEMS,AGROFOREST SYST,0167-4366,2.419,0.403
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,1774-0746,7.832,1.912
AGRONOMY JOURNAL,AGRON J,0002-1962,2.65,0.498
Agronomy-Basel,AGRONOMY-BASEL,2073-4395,3.949,0.503
AI COMMUNICATIONS,AI COMMUN,0921-7126,1.029,0.333
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,1.634,0.311
AI MAGAZINE,AI MAG,0738-4602,2.524,1.016
AIAA JOURNAL,AIAA J,0001-1452,2.624,0.717
AIBR-Revista de Antropologia Iberoamericana,AIBR-REV ANTROPOL IB,1695-9752,0.537,0.418
AICHE JOURNAL,AICHE J,0001-1541,4.167,0.697
AIDS,AIDS,0269-9370,4.632,1.873
AIDS AND BEHAVIOR,AIDS BEHAV,1090-7165,4.852,1.49
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,AIDS CARE,0954-0121,1.887,0.756
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1.92,0.907
AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,1087-2914,5.944,1.552
AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,0889-2229,1.723,0.586
AIDS Research and Therapy,AIDS RES THER,1742-6405,2.846,0.837
AIDS REVIEWS,AIDS REV,1139-6121,2.381,0.663
AIMS Mathematics,AIMS MATH,2473-6988,2.739,0.476
Ain Shams Engineering Journal,AIN SHAMS ENG J,2090-4479,4.79,0.544
AIP Advances,AIP ADV,2158-3226,1.697,0.336
Air Quality Atmosphere and Health,AIR QUAL ATMOS HLTH,1873-9318,5.804,0.697
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,AIRCR ENG AEROSP TEC,1748-8842,1.478,0.177
AJAR-African Journal of AIDS Research,AJAR-AFR J AIDS RES,1608-5906,1.816,0.508
AJIDD-American Journal on Intellectual and Developmental Disabilities,AJIDD-AM J INTELLECT,1944-7515,2.297,0.793
AKCE International Journal of Graphs and Combinatorics,AKCE INT J GRAPHS CO,0972-8600,0.62,0.265
AKTUELLE RHEUMATOLOGIE,AKTUEL RHEUMATOL,0341-051X,0.159,0.022
AKTUELLE UROLOGIE,AKTUEL UROL,0001-7868,0.465,0.053
ALCHERINGA,ALCHERINGA,0311-5518,1.395,0.341
ALCOHOL,ALCOHOL,0741-8329,2.558,0.578
ALCOHOL AND ALCOHOLISM,ALCOHOL ALCOHOLISM,0735-0414,3.913,0.854
Alcohol Research-Current Reviews,ALCOHOL RES-CURR REV,1535-7414,7.654,3.718
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,ALCOHOL CLIN EXP RES,0145-6008,3.928,1.093
ALDRICHIMICA ACTA,ALDRICHIM ACTA,0002-5100,4.417,1.081
ALEA-Latin American Journal of Probability and Mathematical Statistics,ALEA-LAT AM J PROBAB,1980-0436,0.732,0.736
Alexandria Engineering Journal,ALEX ENG J,1110-0168,6.626,0.72
ALGAE,ALGAE-SEOUL,1226-2617,2.839,0.517
Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,2211-9264,5.276,0.764
Algebra & Number Theory,ALGEBR NUMBER THEORY,1937-0652,1.061,1.421
Algebra and Logic,ALGEBR LOG+,0002-5232,0.685,0.482
ALGEBRA COLLOQUIUM,ALGEBR COLLOQ,1005-3867,0.333,0.326
ALGEBRA UNIVERSALIS,ALGEBR UNIV,0002-5240,0.526,0.362
Algebraic and Geometric Topology,ALGEBR GEOM TOPOL,1472-2739,0.76,1.154
Algebraic Geometry,ALGEBRAIC GEOM,2313-1691,1.431,2.186
ALGEBRAS AND REPRESENTATION THEORY,ALGEBR REPRESENT TH,1386-923X,0.703,0.611
ALGORITHMICA,ALGORITHMICA,0178-4617,0.909,0.608
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,1748-7188,1.721,0.874
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,0269-2813,9.524,2.76
All Life,ALL LIFE,2689-5293,1.044,0.141
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,ALLERGOL IMMUNOPATH,0301-0546,2.094,0.367
ALLERGOLOGIE,ALLERGOLOGIE,0344-5062,0.238,0.019
ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,1323-8930,7.478,1.347
ALLERGY,ALLERGY,0105-4538,14.71,2.542
ALLERGY AND ASTHMA PROCEEDINGS,ALLERGY ASTHMA PROC,1088-5412,2.873,0.458
Allergy Asthma & Immunology Research,ALLERGY ASTHMA IMMUN,2092-7355,5.096,1.098
Allergy Asthma and Clinical Immunology,ALLERGY ASTHMA CL IM,1710-1492,3.373,0.883
Alpine Botany,ALPINE BOT,1664-2201,2.742,0.775
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,ALTERN THER HEALTH M,1078-6791,1.804,0.28
ALTERNATIVES,ALTERNATIVES,0304-3754,2,0.61
ALTEX-Alternatives to Animal Experimentation,ALTEX-ALTERN ANIM EX,1868-596X,6.25,1.256
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,ALZ DIS ASSOC DIS,0893-0341,2.357,1.12
Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,16.655,5.845
Alzheimers Research & Therapy,ALZHEIMERS RES THER,1758-9193,8.823,2.523
AMA-Agricultural Mechanization in Asia Africa and Latin America,AMA-AGR MECH ASIA AF,0084-5841,0.287,0.053
AMB Express,AMB EXPRESS,2191-0855,4.126,0.649
AMBIO,AMBIO,0044-7447,6.943,1.526
Ambix,AMBIX,0002-6980,0.618,0.623
AMEGHINIANA,AMEGHINIANA,0002-7014,1.5,0.443
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.944,0.48
AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,0002-7294,3.139,1.463
AMERICAN ANTIQUITY,AM ANTIQUITY,0002-7316,3.129,1.121
AMERICAN BANKRUPTCY LAW JOURNAL,AM BANKRUPT LAW J,0027-9048,0.448,0.301
AMERICAN BEHAVIORAL SCIENTIST,AM BEHAV SCI,0002-7642,2.531,1.325
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,0.485,0.13
AMERICAN BUSINESS LAW JOURNAL,AM BUS LAW J,0002-7766,1.743,0.598
AMERICAN CERAMIC SOCIETY BULLETIN,AM CERAM SOC BULL,0002-7812,2.077,0.282
American Economic Journal-Applied Economics,AM ECON J-APPL ECON,1945-7782,7.966,10.334
American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,1945-7731,6.067,9.049
American Economic Journal-Macroeconomics,AM ECON J-MACROECON,1945-7707,6.718,7.678
American Economic Journal-Microeconomics,AM ECON J-MICROECON,1945-7669,2.458,3.846
AMERICAN ECONOMIC REVIEW,AM ECON REV,0002-8282,11.49,13.746
AMERICAN EDUCATIONAL RESEARCH JOURNAL,AM EDUC RES J,0002-8312,4.503,3.01
AMERICAN ETHNOLOGIST,AM ETHNOL,0094-0496,1.906,1.814
AMERICAN FAMILY PHYSICIAN,AM FAM PHYSICIAN,0002-838X,5.305,1.535
AMERICAN FERN JOURNAL,AM FERN J,0002-8444,0.9,0.273
American Health and Drug Benefits,AM HEALTH DRUG BENEF,1942-2962,3.135,1.045
AMERICAN HEART JOURNAL,AM HEART J,0002-8703,5.099,2.325
AMERICAN HISTORICAL REVIEW,AM HIST REV,0002-8762,1.807,2.887
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,AM INDIAN ALASKA NAT,1533-7731,1.643,0.821
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AM J AGR ECON,0002-9092,3.757,1.488
American Journal of Alzheimers Disease and Other Dementias,AM J ALZHEIMERS DIS,1533-3175,2.632,0.623
American Journal of Audiology,AM J AUDIOL,1059-0889,1.636,0.52
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,1526-5161,14.676,3.684
AMERICAN JOURNAL OF BOTANY,AM J BOT,0002-9122,3.325,1.156
American Journal of Cancer Research,AM J CANCER RES,2156-6976,5.942,1.003
AMERICAN JOURNAL OF CARDIOLOGY,AM J CARDIOL,0002-9149,3.133,1.031
American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,1175-3277,3.283,0.849
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,0192-415X,6.005,0.647
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,1175-0561,6.233,1.804
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,AM J CLIN HYPN,0002-9157,0.694,0.191
AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,0002-9165,8.472,2.293
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,AM J CLIN ONCOL-CANC,0277-3732,2.787,0.819
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,0002-9173,5.4,1.135
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,0091-0562,4.019,1.206
AMERICAN JOURNAL OF COMPARATIVE LAW,AM J COMP LAW,0002-919X,0.951,0.601
American Journal of Criminal Justice,AM J CRIM JUSTICE,1066-2316,6.037,1.392
AMERICAN JOURNAL OF CRITICAL CARE,AM J CRIT CARE,1062-3264,2.207,0.789
American Journal of Cultural Sociology,AM J CULT SOCIOL,2049-7113,2.38,1.443
AMERICAN JOURNAL OF DENTISTRY,AM J DENT,0894-8275,1.748,0.348
AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,0193-1091,1.319,0.295
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,0095-2990,3.912,1.104
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,AM J ECON SOCIOL,0002-9246,1.103,0.585
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0195-6744,3.027,1.345
AMERICAN JOURNAL OF EMERGENCY MEDICINE,AM J EMERG MED,0735-6757,4.093,0.765
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,AM J ENOL VITICULT,0002-9254,2.63,0.366
AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,0002-9262,5.363,2.684
AMERICAN JOURNAL OF EVALUATION,AM J EVAL,1098-2140,1.507,0.703
AMERICAN JOURNAL OF FAMILY THERAPY,AM J FAM THER,0192-6187,1.159,0.259
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,AM J FOREN MED PATH,0195-7910,1.108,0.243
AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,0002-9270,12.045,4.63
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,1064-7481,7.996,1.699
AMERICAN JOURNAL OF HEALTH BEHAVIOR,AM J HEALTH BEHAV,1945-7359,2.006,0.635
American Journal of Health Economics,AM J HEALTH ECON,2332-3493,1.973,1.518
AMERICAN JOURNAL OF HEALTH PROMOTION,AM J HEALTH PROMOT,0890-1171,2.956,0.845
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,AM J HEALTH-SYST PH,1079-2082,2.98,0.599
AMERICAN JOURNAL OF HEMATOLOGY,AM J HEMATOL,0361-8609,13.265,3.223
American Journal of Hospice & Palliative Medicine,AM J HOSP PALLIAT ME,1049-9091,2.09,0.647
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1042-0533,2.947,0.612
AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,0002-9297,11.043,5.593
AMERICAN JOURNAL OF HYPERTENSION,AM J HYPERTENS,0895-7061,3.08,0.901
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,0271-3586,3.079,0.786
AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,0196-6553,4.303,0.963
AMERICAN JOURNAL OF INTERNATIONAL LAW,AM J INT LAW,0002-9300,2.989,1.222
AMERICAN JOURNAL OF KIDNEY DISEASES,AM J KIDNEY DIS,0272-6386,11.072,2.842
AMERICAN JOURNAL OF LAW & MEDICINE,AM J LAW MED,0098-8588,0.694,0.549
AMERICAN JOURNAL OF MANAGED CARE,AM J MANAG CARE,1088-0224,3.247,1.04
AMERICAN JOURNAL OF MATHEMATICS,AM J MATH,0002-9327,1.835,2.698
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,AM J MED GENET A,1552-4825,2.578,0.788
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,AM J MED GENET B,1552-4841,3.358,1.111
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,AM J MED GENET C,1552-4868,3.359,1.588
AMERICAN JOURNAL OF MEDICAL QUALITY,AM J MED QUAL,1062-8606,1.2,0.642
AMERICAN JOURNAL OF MEDICINE,AM J MED,0002-9343,5.928,1.98
American Journal of Mens Health,AM J MENS HEALTH,1557-9883,2.403,0.752
AMERICAN JOURNAL OF NEPHROLOGY,AM J NEPHROL,0250-8095,4.605,1.4
AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,0195-6108,4.966,1.373
AMERICAN JOURNAL OF NURSING,AM J NURS,0002-936X,2.577,0.601
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AM J OBSTET GYNECOL,0002-9378,10.693,3.232
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,AM J OCCUP THER,0272-9490,2.813,0.661
AMERICAN JOURNAL OF OPHTHALMOLOGY,AM J OPHTHALMOL,0002-9394,5.488,1.7
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,AM J ORTHOD DENTOFAC,0889-5406,2.711,0.742
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,AM J ORTHOPSYCHIAT,0002-9432,3.407,1.295
AMERICAN JOURNAL OF OTOLARYNGOLOGY,AM J OTOLARYNG,0196-0709,2.873,0.578
AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,0002-9440,5.77,1.349
AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,0735-1631,3.079,0.829
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,0002-9459,2.876,0.595
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,0002-9483,2.963,0.985
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,0894-9115,3.412,0.832
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,0.835,0.321
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,AM J PHYSIOL-CELL PH,0363-6143,5.282,1.045
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,0193-1849,5.9,1.241
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,AM J PHYSIOL-GASTR L,0193-1857,4.871,1.167
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,0363-6135,5.125,1.18
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,1040-0605,6.011,1.318
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,AM J PHYSIOL-REG I,0363-6119,3.21,0.913
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,AM J PHYSIOL-RENAL,1931-857X,4.097,0.974
AMERICAN JOURNAL OF POLITICAL SCIENCE,AM J POLIT SCI,0092-5853,4.503,5.835
AMERICAN JOURNAL OF POTATO RESEARCH,AM J POTATO RES,1099-209X,2.23,0.3
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,0749-3797,6.604,2.61
AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,0275-2565,3.014,0.805
AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,0002-953X,19.242,6.762
AMERICAN JOURNAL OF PSYCHOLOGY,AM J PSYCHOL,0002-9556,1.059,0.385
AMERICAN JOURNAL OF PUBLIC HEALTH,AM J PUBLIC HEALTH,0090-0036,11.561,4.492
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,1046-7408,3.777,0.776
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,30.528,8.164
